"","指数代码","名称","最新价","涨跌额","涨跌幅","振幅","成交量","成交额","昨收","今开","最高","最低","5分钟涨跌"
"85","000960","中证龙头","4988.80","-41.38","-0.82%","1.55","11495675392","232356622336","5030.18","4994.20","5043.44","4965.40","-0.04%"
"86","000939","民企成长","2128.49","-17.60","-0.82%","1.70","8337285888","123664330752","2146.09","2133.81","2154.00","2117.48","0.01%"
"87","000115","380等权","7527.31","-63.87","-0.84%","1.66","11407849984","137420267520","7591.18","7553.27","7628.60","7502.81","-0.03%"
"88","000964","中证新兴","10446.99","-88.30","-0.84%","1.92","9084296448","202245435392","10535.29","10495.51","10592.97","10390.27","-0.06%"
"89","000988","全指工业","3447.33","-29.72","-0.85%","1.74","23088809728","234178093056","3477.05","3468.68","3496.11","3435.69","-0.02%"
"90","000091","沪财中小","10127.91","-87.09","-0.85%","1.57","5088392960","56014030848","10215.00","10190.08","10256.26","10095.48","-0.03%"
"91","000161","沪中国造","2037.14","-17.40","-0.85%","1.90","6929556992","120073601024","2054.54","2057.06","2069.85","2030.84","-0.08%"
"92","000813","细分化工","3144.23","-26.96","-0.85%","1.46","1846504432","23552444928","3171.19","3151.34","3178.37","3132.21","-0.13%"
"93","000977","内地低碳","1543.57","-13.46","-0.86%","1.42","3193780544","50144164352","1557.03","1547.48","1558.95","1536.85","-0.04%"
"94","000904","中证200","5255.79","-45.78","-0.86%","1.82","16052799232","268934438912","5301.57","5266.72","5325.17","5228.90","-0.07%"
"95","000935","中证信息","6628.08","-58.49","-0.87%","2.52","7922988800","153486348288","6686.57","6629.55","6735.18","6566.78","-0.08%"
"96","000839","浙企综指","7843.79","-68.90","-0.87%","1.92","10250777856","137084887040","7912.69","7873.87","7968.07","7816.47","-0.01%"
"97","000920","300R成长","4735.18","-43.82","-0.92%","1.47","21808558848","428389781504","4778.99","4742.34","4782.27","4712.25","-0.07%"
"98","000049","上证民企","2456.76","-22.73","-0.92%","1.86","3124351296","70026194944","2479.49","2462.86","2490.76","2444.52","-0.05%"
"99","000067","上证新兴","8977.84","-83.86","-0.93%","2.35","4190281696","104211304448","9061.69","9056.78","9141.13","8928.32","-0.12%"
"100","000842","800等权","6420.51","-62.50","-0.96%","1.75","60568632320","832981839872","6483.01","6446.80","6511.28","6397.84","-0.07%"
"101","000138","380低贝","6134.40","-61.58","-0.99%","1.51","3039003904","31567842560","6195.98","6163.18","6213.38","6119.59","-0.06%"
"102","000011","基金指数","7322.98","-76.10","-1.03%","1.38","19430113024","56690895104","7399.08","7364.12","7396.40","7294.38","0.02%"
"103","000953","中证地企","1655.94","-17.62","-1.05%","1.65","33006223616","351086063616","1673.56","1660.67","1677.14","1649.45","-0.08%"
"104","000158","上证环保","1440.95","-15.37","-1.06%","1.60","1658237008","23919921920","1456.32","1447.51","1459.32","1435.97","-0.04%"
"105","000847","腾讯济安","2667.77","-28.51","-1.06%","1.60","3878461200","67091855360","2696.28","2690.42","2704.26","2661.12","-0.09%"
"106","000902","中证流通","5736.61","-62.75","-1.08%","1.65","124205678592","1560774311936","5799.36","5762.71","5811.38","5715.62","-0.06%"
"107","000059","全R成长","3798.93","-41.40","-1.08%","1.68","25984356352","389719375872","3840.32","3812.52","3846.32","3781.71","-0.08%"
"108","000930","中证工业","3126.43","-34.30","-1.09%","2.00","10762400000","112944832512","3160.73","3153.10","3177.52","3114.28","-0.03%"
"109","000004","工业指数","2810.59","-31.58","-1.11%","1.50","28284412672","390397239296","2842.17","2825.58","2843.36","2800.75","-0.05%"
"110","000985","中证全指","5452.85","-61.05","-1.11%","1.67","118596096000","1509586894848","5513.90","5478.41","5524.77","5432.75","-0.06%"
"111","000966","基本400","7232.04","-82.75","-1.13%","1.89","24528862720","336167669760","7314.79","7274.23","7343.70","7205.49","-0.07%"
"112","000949","中证农业","7625.34","-88.22","-1.14%","1.55","2093917152","35323646976","7713.55","7675.42","7721.83","7602.10","-0.11%"
"113","000099","上证F300","7414.95","-85.41","-1.14%","1.86","15160277504","186528755712","7500.36","7453.25","7527.45","7388.22","-0.06%"
"114","000941","新能源","1904.27","-22.31","-1.16%","1.68","2818301584","42110194944","1926.58","1912.70","1928.53","1896.21","-0.06%"
"115","000120","380R价值","6590.00","-78.79","-1.18%","1.83","9906588416","102881861632","6668.79","6627.85","6690.95","6568.79","-0.07%"
"116","000809","细分农业","8626.79","-104.33","-1.19%","1.69","2312153120","31264589312","8731.12","8690.83","8733.73","8586.23","-0.10%"
"117","000113","380公用","2051.03","-24.77","-1.19%","1.72","439250608","2846668176","2075.80","2069.10","2084.53","2048.79","-0.07%"
"118","000827","中证环保","1525.31","-18.78","-1.22%","1.68","4923708416","73043304448","1544.09","1536.25","1546.32","1520.45","-0.08%"
"119","000114","持续产业","1193.53","-14.75","-1.22%","1.60","1611057696","17656437248","1208.28","1200.72","1208.21","1188.83","-0.06%"
"120","000995","全指公用","1976.96","-24.85","-1.24%","1.64","2330849632","12783344640","2001.81","1997.96","2008.88","1975.98","-0.15%"
"121","000865","上海国企","1631.00","-20.46","-1.24%","1.55","2878411504","39039928064","1651.46","1643.98","1651.06","1625.39","-0.07%"
"122","000046","上证中小","4296.00","-55.01","-1.26%","1.83","28707226112","335506923520","4351.01","4324.52","4361.19","4281.43","-0.10%"
"123","000843","300动态","3888.65","-50.11","-1.27%","1.73","16757360384","322713280512","3938.76","3898.17","3937.42","3869.41","-0.11%"
"124","000128","380基本","6655.31","-86.24","-1.28%","1.72","11407849984","137420267520","6741.55","6701.09","6750.17","6634.56","-0.07%"
"125","000057","全指成长","5125.71","-67.32","-1.30%","1.73","7013470976","151214956544","5193.03","5152.23","5191.29","5101.70","-0.07%"
"126","000003","B股指数","241.72","-3.19","-1.30%","1.51","64447000","344357216","244.91","243.66","244.87","241.17","0.03%"
"127","000065","上证龙头","3928.36","-52.71","-1.32%","1.76","7923806464","155185270784","3981.07","3945.87","3978.72","3908.50","-0.09%"
"128","000915","300信息","3390.45","-45.88","-1.34%","2.68","3606472144","84024053760","3436.33","3399.85","3452.07","3360.07","-0.11%"
"129","000078","电信等权","3270.33","-45.02","-1.36%","2.64","1289228208","23179482112","3315.36","3323.76","3345.40","3257.84","-0.13%"
"130","000804","500波动","11721.19","-162.08","-1.36%","1.95","5048626688","34723156224","11883.27","11827.22","11924.37","11692.44","-0.06%"
"131","000105","380材料","3984.49","-55.71","-1.38%","1.85","2479188096","22631909632","4040.20","4006.70","4042.26","3967.64","-0.08%"
"132","000832","中证转债","372.29","-5.24","-1.39%","1.37","26677973","47861374720","377.53","377.15","377.30","372.11","-0.04%"
"133","000097","高端装备","8005.96","-114.98","-1.42%","2.14","2552853008","36777566208","8120.95","8138.77","8160.66","7986.66","-0.09%"
"134","000906","中证800","5073.06","-73.55","-1.43%","1.77","60568632320","832981839872","5146.61","5105.22","5144.22","5053.15","-0.08%"
"135","000812","细分机械","5738.52","-83.60","-1.44%","1.90","3264472784","47730892544","5822.12","5782.66","5818.69","5708.30","-0.03%"
"136","000981","300分层","5550.87","-82.41","-1.46%","1.68","31694964992","510472056832","5633.28","5594.69","5627.11","5532.69","-0.11%"
"137","000855","央视500","1553.82","-23.40","-1.48%","1.76","37364994560","634358837248","1577.22","1564.88","1575.45","1547.72","-0.07%"
"138","000030","180R成长","2946.70","-44.49","-1.49%","1.81","14920988160","272385466368","2991.19","2964.83","2987.50","2933.34","-0.09%"
"139","000110","380金融","3954.10","-59.81","-1.49%","2.20","1336567504","12023212544","4013.91","3977.36","4023.01","3934.90","-0.07%"
"140","000072","工业等权","2848.36","-43.38","-1.50%","2.12","4327256320","40719280640","2891.74","2890.37","2902.39","2841.16","-0.07%"
"141","000007","公用指数","4663.61","-71.10","-1.50%","1.89","5260636416","36584999680","4734.71","4718.26","4741.47","4651.82","-0.06%"
"142","000962","中证中游","3757.95","-57.79","-1.51%","2.12","17889475072","252920131584","3815.74","3790.90","3822.26","3741.34","-0.09%"
"143","000041","上证公用","1871.85","-28.90","-1.52%","1.59","1121461808","6546095104","1900.75","1894.69","1902.06","1871.85","-0.18%"
"144","000917","300公用","1768.07","-27.32","-1.52%","1.76","517944048","2541084048","1795.39","1792.02","1799.61","1768.02","-0.18%"
"145","000954","地企100","1600.76","-25.08","-1.54%","1.90","12070865152","160780410880","1625.84","1611.65","1624.34","1593.41","-0.10%"
"146","000079","公用等权","1980.89","-31.25","-1.55%","1.75","1121461808","6546095104","2012.13","2003.76","2013.86","1978.59","-0.15%"
"147","000153","上民红利","2320.43","-37.38","-1.59%","2.08","1267394496","9904141824","2357.81","2338.51","2362.03","2313.09","-0.08%"
"148","000034","上证工业","2200.67","-35.86","-1.60%","2.06","4327256320","40719280640","2236.53","2228.00","2239.95","2193.97","-0.04%"
"149","000984","300等权","4765.19","-78.33","-1.62%","1.87","31694964992","510472056832","4843.52","4805.24","4838.50","4748.03","-0.09%"
