code,dayVol,weekVol,名称
000001,0.011205070684742722,0.026006083879093707,上证指数
000002,0.011211506190830015,0.026028134414763263,A股指数
000003,0.010927222633249403,0.023163766397962422,B股指数
000004,0.012317633599666544,0.027644090152871358,工业指数
000005,0.015545227896138674,0.036216102930232336,商业指数
000006,0.015386748867957345,0.034681914079938855,地产指数
000007,0.012106137862829075,0.02858578113437446,公用指数
000008,0.010734779134820712,0.026413712499629965,综合指数
000009,0.01447990827912515,0.03254766459533704,上证380
000010,0.0111521373273435,0.026506159091193294,上证180
000011,0.00458315106337341,0.011186589391700525,基金指数
000012,3.666192713583903e-4,0.0010065653239385687,国债指数
000013,2.2328753059725788e-4,6.676502485979816e-4,企债指数
000015,0.010487700933875781,0.02466244354549222,红利指数
000016,0.0113824811137115,0.027580777150187988,上证50
000017,0.011214009480691189,0.026030084084532373,新综指
000018,0.01159540890688285,0.0287165121349401,180金融
000019,0.011342180388396954,0.0267420563132588,治理指数
000020,0.015072446006236901,0.035595674070770585,中型综指
000021,0.01117433024090533,0.026881587854452445,180治理
000022,2.4686276744262533e-4,7.658696834132744e-4,沪公司债
000025,0.012060551448008048,0.02863936585357857,180基建
000026,0.013905396691644832,0.0315361854809447,180资源
000027,0.013760145825525224,0.03284523347485399,180运输
000028,0.011383112443704255,0.027000150824070045,180成长
000029,0.01054427879765671,0.026047195435641046,180价值
000030,0.012457007682294774,0.029048705635665976,180R成长
000031,0.010532155061787457,0.025562097622010088,180R价值
000032,0.014181665603178774,0.03023580748368514,上证能源
000033,0.015315599213749363,0.03496079063387113,上证材料
000034,0.013039366527926047,0.030623182361969547,上证工业
000035,0.01258764488420306,0.03006729527895763,上证可选
000036,0.014478249473517921,0.03269199966941072,上证消费
000037,0.014335035105622961,0.03241213067309262,上证医药
000038,0.011629875833931819,0.028868953315164564,上证金融
000039,0.017379150372045328,0.041053216517380246,上证信息
000040,0.01744147636191332,0.037541955556532676,上证电信
000041,0.009965661209516762,0.022925183026973963,上证公用
000042,0.01148481425593883,0.027792716638422376,上证央企
000043,0.01131419285854238,0.02622256673791538,超大盘
000044,0.011997296289097585,0.027691276588267408,上证中盘
000045,0.014553350535293727,0.032761322047719026,上证小盘
000046,0.012992939456561128,0.02965810704206308,上证中小
000047,0.011519169342242029,0.02692060163316284,上证全指
000048,0.011593352681610719,0.027772681298681802,责任指数
000049,0.01241438732452804,0.028301317109907586,上证民企
000050,0.011834318733476193,0.028260203837891212,50等权
000051,0.01218044194483258,0.02847727481041626,180等权
000052,0.010739149434194723,0.026141329572350644,50基本
000053,0.010520625091863784,0.025317916446421413,180基本
000054,0.01153104517545554,0.02818740637040768,上证海外
000055,0.011016735854892866,0.025583205199451946,上证地企
000056,0.01100834182286726,0.026227569533149583,上证国企
000057,0.01157387445148408,0.027491576666714295,全指成长
000058,0.010715085027704345,0.025888353222843902,全指价值
000059,0.01287172408426789,0.029781895835828083,全R成长
000060,0.010882987055085731,0.02584127597536481,全R价值
000061,6.739865121861033e-4,0.0017696224237489216,沪企债30
000062,0.011267856530127473,0.02615263813857911,上证沪企
000063,0.011630347251008429,0.028556425828548053,上证周期
000064,0.012327881881294708,0.028184817559296183,非周期
000065,0.011992800821408802,0.02734016750175238,上证龙头
000066,0.014598797525614349,0.032553404520301005,上证商品
000067,0.01440039822739358,0.03284278219910814,上证新兴
000068,0.014948011056050372,0.03280413325502084,上证资源
000069,0.013129201353245187,0.030259352425522825,消费80
000070,0.01647806250172372,0.034292100182245204,能源等权
000071,0.01547343631605258,0.035238189430286324,材料等权
000072,0.013128840741998622,0.03050159663691568,工业等权
000073,0.013302431338059504,0.031025110565818796,可选等权
000074,0.014713904919055458,0.033600150980730395,消费等权
000075,0.014516883400130009,0.032634433706421016,医药等权
000076,0.011890319429617912,0.029465081615937846,金融等权
000077,0.01765785644518073,0.041360259979213054,信息等权
000078,0.017789495776972693,0.039711583865278066,电信等权
000079,0.011890321842942614,0.02732432427945582,公用等权
000090,0.011804906235619653,0.0274667751193012,上证流通
000094,0.014456958636092126,0.031650604367829356,上证上游
000095,0.013947420242876686,0.03210236231472436,上证中游
000096,0.012983001079443791,0.030105890381924662,上证下游
000097,0.0160999432968203,0.03697146439213503,高端装备
000098,0.010454460037086458,0.02504965141320609,上证F200
000099,0.014625480643252906,0.03310001753868344,上证F300
000100,0.010586139074885446,0.025046194128885504,上证F500
000101,2.487975791337343e-4,7.413101582068369e-4,5年信用
000102,0.014377801003782964,0.0324399402456043,沪投资品
000103,0.013858252353771808,0.03150678120255144,沪消费品
000104,0.018994865549747046,0.03950757505289576,380能源
000105,0.016592679076667186,0.03762116486445116,380材料
000106,0.015141813701213567,0.03437856153778161,380工业
000107,0.01338933527428493,0.03103748135535584,380可选
000108,0.015735410464455313,0.03624079928787642,380消费
000109,0.014878018432582601,0.03287325155179683,380医药
000110,0.01612433757845859,0.03791700661622925,380金融
000111,0.018478430821513136,0.042884145533192614,380信息
000112,0.02242035898942718,0.044896760563051835,380电信
000113,0.012722454178239353,0.028980183374995368,380公用
000114,0.011726242668828735,0.026828478450728534,持续产业
000115,0.014774079836095286,0.033040704380045284,380等权
000116,5.893998267034315e-4,0.0016467734438923292,信用100
000117,0.014532398542034251,0.03302873608829989,380成长
000118,0.013904679583246331,0.03102684845640696,380价值
000119,0.014941355392602274,0.0340204324529382,380R成长
000120,0.014224826709240327,0.031710667711324865,380R价值
000121,0.014585215779951262,0.03276415514886381,医药主题
000122,0.014361671724214303,0.03292448994969333,农业主题
000123,0.014313907609490617,0.033934996297149744,180动态
