日期,指数名称,成分券代码,成分券名称
2020-03-06,380成长,600021,上海电力
2020-03-06,380成长,600056,中国医药
2020-03-06,380成长,600123,兰花科创
2020-03-06,380成长,600136,当代明诚
2020-03-06,380成长,600153,建发股份
2020-03-06,380成长,600160,巨化股份
2020-03-06,380成长,600161,天坛生物
2020-03-06,380成长,600167,联美控股
2020-03-06,380成长,600231,凌钢股份
2020-03-06,380成长,600233,圆通速递
2020-03-06,380成长,600256,广汇能源
2020-03-06,380成长,600258,首旅酒店
2020-03-06,380成长,600260,凯乐科技
2020-03-06,380成长,600273,嘉化能源
2020-03-06,380成长,600282,南钢股份
2020-03-06,380成长,600323,瀚蓝环境
2020-03-06,380成长,600325,华发股份
2020-03-06,380成长,600326,西藏天路
2020-03-06,380成长,600348,阳泉煤业
2020-03-06,380成长,600363,联创光电
2020-03-06,380成长,600368,五洲交通
2020-03-06,380成长,600378,昊华科技
2020-03-06,380成长,600387,海越能源
2020-03-06,380成长,600392,盛和资源
2020-03-06,380成长,600452,涪陵电力
2020-03-06,380成长,600466,蓝光发展
2020-03-06,380成长,600486,扬农化工
2020-03-06,380成长,600502,安徽建工
2020-03-06,380成长,600507,方大特钢
2020-03-06,380成长,600511,国药股份
2020-03-06,380成长,600545,卓郎智能
2020-03-06,380成长,600548,深高速
2020-03-06,380成长,600566,济川药业
2020-03-06,380成长,600567,山鹰纸业
2020-03-06,380成长,600587,新华医疗
2020-03-06,380成长,600596,新安股份
2020-03-06,380成长,600612,老凤祥
2020-03-06,380成长,600622,光大嘉宝
2020-03-06,380成长,600626,申达股份
2020-03-06,380成长,600655,豫园股份
2020-03-06,380成长,600667,太极实业
2020-03-06,380成长,600668,尖峰集团
2020-03-06,380成长,600673,东阳光
2020-03-06,380成长,600675,中华企业
2020-03-06,380成长,600681,百川能源
2020-03-06,380成长,600693,东百集团
2020-03-06,380成长,600702,舍得酒业
2020-03-06,380成长,600763,通策医疗
2020-03-06,380成长,600777,新潮能源
2020-03-06,380成长,600779,水井坊
2020-03-06,380成长,600782,新钢股份
2020-03-06,380成长,600801,华新水泥
2020-03-06,380成长,600803,新奥股份
2020-03-06,380成长,600828,茂业商业
2020-03-06,380成长,600971,恒源煤电
2020-03-06,380成长,600985,淮北矿业
2020-03-06,380成长,600987,航民股份
2020-03-06,380成长,601001,大同煤业
2020-03-06,380成长,601003,柳钢股份
2020-03-06,380成长,601100,恒立液压
2020-03-06,380成长,601360,三六零
2020-03-06,380成长,601717,郑煤机
2020-03-06,380成长,601872,招商轮船
2020-03-06,380成长,603007,花王股份
2020-03-06,380成长,603027,千禾味业
2020-03-06,380成长,603039,泛微网络
2020-03-06,380成长,603108,润达医疗
2020-03-06,380成长,603113,金能科技
2020-03-06,380成长,603127,昭衍新药
2020-03-06,380成长,603165,荣晟环保
2020-03-06,380成长,603180,金牌厨柜
2020-03-06,380成长,603185,上机数控
2020-03-06,380成长,603220,中贝通信
2020-03-06,380成长,603225,新凤鸣
2020-03-06,380成长,603228,景旺电子
2020-03-06,380成长,603233,大参林
2020-03-06,380成长,603236,移远通信
2020-03-06,380成长,603260,合盛硅业
2020-03-06,380成长,603283,赛腾股份
2020-03-06,380成长,603305,旭升股份
2020-03-06,380成长,603327,福蓉科技
2020-03-06,380成长,603332,苏州龙杰
2020-03-06,380成长,603337,杰克股份
2020-03-06,380成长,603338,浙江鼎力
2020-03-06,380成长,603357,设计总院
2020-03-06,380成长,603368,柳药股份
2020-03-06,380成长,603387,基蛋生物
2020-03-06,380成长,603393,新天然气
2020-03-06,380成长,603429,集友股份
2020-03-06,380成长,603444,吉比特
2020-03-06,380成长,603505,金石资源
2020-03-06,380成长,603508,思维列控
2020-03-06,380成长,603515,欧普照明
2020-03-06,380成长,603568,伟明环保
2020-03-06,380成长,603583,捷昌驱动
2020-03-06,380成长,603585,苏利股份
2020-03-06,380成长,603588,高能环境
2020-03-06,380成长,603590,康辰药业
2020-03-06,380成长,603596,伯特利
2020-03-06,380成长,603606,东方电缆
2020-03-06,380成长,603613,国联股份
2020-03-06,380成长,603638,艾迪精密
2020-03-06,380成长,603639,海利尔
2020-03-06,380成长,603658,安图生物
2020-03-06,380成长,603659,璞泰来
2020-03-06,380成长,603660,苏州科达
2020-03-06,380成长,603666,亿嘉和
2020-03-06,380成长,603686,龙马环卫
2020-03-06,380成长,603707,健友股份
2020-03-06,380成长,603711,香飘飘
2020-03-06,380成长,603713,密尔克卫
2020-03-06,380成长,603730,岱美股份
2020-03-06,380成长,603737,三棵树
2020-03-06,380成长,603808,歌力思
2020-03-06,380成长,603816,顾家家居
2020-03-06,380成长,603871,嘉友国际
2020-03-06,380成长,603881,数据港
2020-03-06,380成长,603885,吉祥航空
2020-03-06,380成长,603898,好莱客
2020-03-06,380成长,603899,晨光文具
