日期,指数名称,成分券代码,成分券名称
2020-03-06,环境治理,600008,首创股份
2020-03-06,环境治理,600187,国中水务
2020-03-06,环境治理,600217,中再资环
2020-03-06,环境治理,600292,远达环保
2020-03-06,环境治理,600323,瀚蓝环境
2020-03-06,环境治理,600388,龙净环保
2020-03-06,环境治理,600874,创业环保
2020-03-06,环境治理,601200,上海环境
2020-03-06,环境治理,601330,绿色动力
2020-03-06,环境治理,601388,怡球资源
2020-03-06,环境治理,603165,荣晟环保
2020-03-06,环境治理,603568,伟明环保
2020-03-06,环境治理,603588,高能环境
2020-03-06,环境治理,603603,博天环境
2020-03-06,环境治理,603686,龙马环卫
2020-03-06,环境治理,603797,联泰环保
2020-03-06,环境治理,000005,世纪星源
2020-03-06,环境治理,000035,中国天楹
2020-03-06,环境治理,000544,中原环保
2020-03-06,环境治理,000598,兴蓉环境
2020-03-06,环境治理,000685,中山公用
2020-03-06,环境治理,000826,启迪环境
2020-03-06,环境治理,000925,众合科技
2020-03-06,环境治理,000967,盈峰环境
2020-03-06,环境治理,002340,格林美
2020-03-06,环境治理,002341,新纶科技
2020-03-06,环境治理,002479,富春环保
2020-03-06,环境治理,002549,凯美特气
2020-03-06,环境治理,002573,清新环境
2020-03-06,环境治理,002663,普邦股份
2020-03-06,环境治理,002672,东江环保
2020-03-06,环境治理,002887,绿茵生态
2020-03-06,环境治理,300007,汉威科技
2020-03-06,环境治理,300055,万邦达
2020-03-06,环境治理,300070,碧水源
2020-03-06,环境治理,300072,三聚环保
2020-03-06,环境治理,300125,易世达
2020-03-06,环境治理,300137,先河环保
2020-03-06,环境治理,300140,中环装备
2020-03-06,环境治理,300145,中金环境
2020-03-06,环境治理,300187,永清环保
2020-03-06,环境治理,300190,维尔利
2020-03-06,环境治理,300203,聚光科技
2020-03-06,环境治理,300262,巴安水务
2020-03-06,环境治理,300266,兴源环境
2020-03-06,环境治理,300332,天壕环境
2020-03-06,环境治理,300422,博世科
2020-03-06,环境治理,300495,美尚生态
2020-03-06,环境治理,300664,鹏鹞环保
2020-03-06,环境治理,300779,惠城环保
