日期,指数名称,成分券代码,成分券名称
2020-03-06,上证全指,600000,浦发银行
2020-03-06,上证全指,600004,白云机场
2020-03-06,上证全指,600006,东风汽车
2020-03-06,上证全指,600008,首创股份
2020-03-06,上证全指,600009,上海机场
2020-03-06,上证全指,600010,包钢股份
2020-03-06,上证全指,600011,华能国际
2020-03-06,上证全指,600015,华夏银行
2020-03-06,上证全指,600016,民生银行
2020-03-06,上证全指,600017,日照港
2020-03-06,上证全指,600018,上港集团
2020-03-06,上证全指,600019,宝钢股份
2020-03-06,上证全指,600020,中原高速
2020-03-06,上证全指,600022,山东钢铁
2020-03-06,上证全指,600025,华能水电
2020-03-06,上证全指,600026,中远海能
2020-03-06,上证全指,600027,华电国际
2020-03-06,上证全指,600028,中国石化
2020-03-06,上证全指,600029,南方航空
2020-03-06,上证全指,600030,中信证券
2020-03-06,上证全指,600031,三一重工
2020-03-06,上证全指,600036,招商银行
2020-03-06,上证全指,600038,中直股份
2020-03-06,上证全指,600039,四川路桥
2020-03-06,上证全指,600048,保利地产
2020-03-06,上证全指,600050,中国联通
2020-03-06,上证全指,600056,中国医药
2020-03-06,上证全指,600057,厦门象屿
2020-03-06,上证全指,600060,海信视像
2020-03-06,上证全指,600061,国投资本
2020-03-06,上证全指,600062,华润双鹤
2020-03-06,上证全指,600064,南京高科
2020-03-06,上证全指,600066,宇通客车
2020-03-06,上证全指,600068,葛洲坝
2020-03-06,上证全指,600072,中船科技
2020-03-06,上证全指,600073,上海梅林
2020-03-06,上证全指,600079,人福医药
2020-03-06,上证全指,600085,同仁堂
2020-03-06,上证全指,600089,特变电工
2020-03-06,上证全指,600093,易见股份
2020-03-06,上证全指,600094,大名城
2020-03-06,上证全指,600096,云天化
2020-03-06,上证全指,600100,同方股份
2020-03-06,上证全指,600104,上汽集团
2020-03-06,上证全指,600108,亚盛集团
2020-03-06,上证全指,600109,国金证券
2020-03-06,上证全指,600110,诺德股份
2020-03-06,上证全指,600111,北方稀土
2020-03-06,上证全指,600115,东方航空
2020-03-06,上证全指,600116,三峡水利
