日期,指数名称,成分券代码,成分券名称
2020-03-06,中证材料,600010,包钢股份
2020-03-06,中证材料,600019,宝钢股份
2020-03-06,中证材料,600022,山东钢铁
2020-03-06,中证材料,600111,北方稀土
2020-03-06,中证材料,600126,杭钢股份
2020-03-06,中证材料,600141,兴发集团
2020-03-06,中证材料,600143,金发科技
2020-03-06,中证材料,600160,巨化股份
2020-03-06,中证材料,600176,中国巨石
2020-03-06,中证材料,600219,南山铝业
2020-03-06,中证材料,600259,广晟有色
2020-03-06,中证材料,600273,嘉化能源
2020-03-06,中证材料,600277,亿利洁能
2020-03-06,中证材料,600282,南钢股份
2020-03-06,中证材料,600307,酒钢宏兴
2020-03-06,中证材料,600309,万华化学
2020-03-06,中证材料,600338,西藏珠峰
2020-03-06,中证材料,600346,恒力石化
2020-03-06,中证材料,600352,浙江龙盛
2020-03-06,中证材料,600362,江西铜业
2020-03-06,中证材料,600392,盛和资源
2020-03-06,中证材料,600409,三友化工
2020-03-06,中证材料,600426,华鲁恒升
2020-03-06,中证材料,600486,扬农化工
2020-03-06,中证材料,600489,中金黄金
2020-03-06,中证材料,600497,驰宏锌锗
2020-03-06,中证材料,600500,中化国际
2020-03-06,中证材料,600507,方大特钢
2020-03-06,中证材料,600516,方大炭素
2020-03-06,中证材料,600547,山东黄金
2020-03-06,中证材料,600549,厦门钨业
2020-03-06,中证材料,600567,山鹰纸业
2020-03-06,中证材料,600585,海螺水泥
2020-03-06,中证材料,600673,东阳光
2020-03-06,中证材料,600782,新钢股份
2020-03-06,中证材料,600801,华新水泥
2020-03-06,中证材料,600808,马钢股份
2020-03-06,中证材料,600881,亚泰集团
2020-03-06,中证材料,600989,宝丰能源
2020-03-06,中证材料,601003,柳钢股份
2020-03-06,中证材料,601005,重庆钢铁
2020-03-06,中证材料,601118,海南橡胶
2020-03-06,中证材料,601168,西部矿业
2020-03-06,中证材料,601212,白银有色
2020-03-06,中证材料,601216,君正集团
2020-03-06,中证材料,601233,桐昆股份
2020-03-06,中证材料,601600,中国铝业
2020-03-06,中证材料,601678,滨化股份
2020-03-06,中证材料,601899,紫金矿业
2020-03-06,中证材料,601958,金钼股份
2020-03-06,中证材料,601969,海南矿业
2020-03-06,中证材料,601992,金隅集团
2020-03-06,中证材料,603077,和邦生物
2020-03-06,中证材料,603225,新凤鸣
2020-03-06,中证材料,603260,合盛硅业
2020-03-06,中证材料,603379,三美股份
2020-03-06,中证材料,603799,华友钴业
2020-03-06,中证材料,603993,洛阳钼业
2020-03-06,中证材料,000012,南  玻Ａ
2020-03-06,中证材料,000060,中金岭南
2020-03-06,中证材料,000301,东方盛虹
2020-03-06,中证材料,000401,冀东水泥
2020-03-06,中证材料,000426,兴业矿业
2020-03-06,中证材料,000488,晨鸣纸业
2020-03-06,中证材料,000553,安道麦A
2020-03-06,中证材料,000629,攀钢钒钛
2020-03-06,中证材料,000630,铜陵有色
2020-03-06,中证材料,000703,恒逸石化
2020-03-06,中证材料,000709,河钢股份
2020-03-06,中证材料,000717,韶钢松山
2020-03-06,中证材料,000758,中色股份
2020-03-06,中证材料,000761,本钢板材
2020-03-06,中证材料,000778,新兴铸管
2020-03-06,中证材料,000786,北新建材
2020-03-06,中证材料,000807,云铝股份
2020-03-06,中证材料,000825,太钢不锈
2020-03-06,中证材料,000830,鲁西化工
2020-03-06,中证材料,000877,天山股份
2020-03-06,中证材料,000878,云南铜业
2020-03-06,中证材料,000898,鞍钢股份
2020-03-06,中证材料,000932,华菱钢铁
2020-03-06,中证材料,000959,首钢股份
2020-03-06,中证材料,000960,锡业股份
2020-03-06,中证材料,000975,银泰黄金
2020-03-06,中证材料,000990,诚志股份
2020-03-06,中证材料,002002,鸿达兴业
2020-03-06,中证材料,002004,华邦健康
2020-03-06,中证材料,002010,传化智联
2020-03-06,中证材料,002064,华峰氨纶
2020-03-06,中证材料,002075,沙钢股份
2020-03-06,中证材料,002078,太阳纸业
2020-03-06,中证材料,002092,中泰化学
2020-03-06,中证材料,002110,三钢闽光
2020-03-06,中证材料,002155,湖南黄金
2020-03-06,中证材料,002203,海亮股份
2020-03-06,中证材料,002233,塔牌集团
2020-03-06,中证材料,002250,联化科技
2020-03-06,中证材料,002271,东方雨虹
2020-03-06,中证材料,002302,西部建设
2020-03-06,中证材料,002340,格林美
2020-03-06,中证材料,002407,多氟多
2020-03-06,中证材料,002408,齐翔腾达
2020-03-06,中证材料,002440,闰土股份
2020-03-06,中证材料,002460,赣锋锂业
2020-03-06,中证材料,002466,天齐锂业
2020-03-06,中证材料,002470,金正大
2020-03-06,中证材料,002493,荣盛石化
2020-03-06,中证材料,002601,龙蟒佰利
2020-03-06,中证材料,002701,奥瑞金
2020-03-06,中证材料,002709,天赐材料
2020-03-06,中证材料,002812,恩捷股份
2020-03-06,中证材料,002831,裕同科技
2020-03-06,中证材料,300072,三聚环保
2020-03-06,中证材料,300180,华峰超纤
2020-03-06,中证材料,300285,国瓷材料
