日期,指数名称,成分券代码,成分券名称
2020-03-06,300分层,600000,浦发银行
2020-03-06,300分层,600004,白云机场
2020-03-06,300分层,600009,上海机场
2020-03-06,300分层,600010,包钢股份
2020-03-06,300分层,600011,华能国际
2020-03-06,300分层,600015,华夏银行
2020-03-06,300分层,600016,民生银行
2020-03-06,300分层,600018,上港集团
2020-03-06,300分层,600019,宝钢股份
2020-03-06,300分层,600023,浙能电力
2020-03-06,300分层,600025,华能水电
2020-03-06,300分层,600027,华电国际
2020-03-06,300分层,600028,中国石化
2020-03-06,300分层,600029,南方航空
2020-03-06,300分层,600030,中信证券
2020-03-06,300分层,600031,三一重工
2020-03-06,300分层,600036,招商银行
2020-03-06,300分层,600038,中直股份
2020-03-06,300分层,600048,保利地产
2020-03-06,300分层,600050,中国联通
2020-03-06,300分层,600061,国投资本
2020-03-06,300分层,600066,宇通客车
2020-03-06,300分层,600068,葛洲坝
2020-03-06,300分层,600085,同仁堂
2020-03-06,300分层,600089,特变电工
2020-03-06,300分层,600100,同方股份
2020-03-06,300分层,600104,上汽集团
2020-03-06,300分层,600109,国金证券
2020-03-06,300分层,600111,北方稀土
2020-03-06,300分层,600115,东方航空
2020-03-06,300分层,600118,中国卫星
2020-03-06,300分层,600153,建发股份
2020-03-06,300分层,600170,上海建工
2020-03-06,300分层,600176,中国巨石
2020-03-06,300分层,600177,雅戈尔
2020-03-06,300分层,600183,生益科技
2020-03-06,300分层,600188,兖州煤业
2020-03-06,300分层,600196,复星医药
2020-03-06,300分层,600208,新湖中宝
2020-03-06,300分层,600219,南山铝业
2020-03-06,300分层,600221,海航控股
2020-03-06,300分层,600233,圆通速递
2020-03-06,300分层,600271,航天信息
2020-03-06,300分层,600276,恒瑞医药
2020-03-06,300分层,600297,广汇汽车
2020-03-06,300分层,600299,安迪苏
2020-03-06,300分层,600309,万华化学
2020-03-06,300分层,600332,白云山
2020-03-06,300分层,600340,华夏幸福
2020-03-06,300分层,600346,恒力石化
2020-03-06,300分层,600352,浙江龙盛
2020-03-06,300分层,600362,江西铜业
2020-03-06,300分层,600369,西南证券
2020-03-06,300分层,600372,中航电子
2020-03-06,300分层,600383,金地集团
2020-03-06,300分层,600390,五矿资本
2020-03-06,300分层,600398,海澜之家
2020-03-06,300分层,600406,国电南瑞
2020-03-06,300分层,600436,片仔癀
2020-03-06,300分层,600438,通威股份
2020-03-06,300分层,600482,中国动力
2020-03-06,300分层,600487,亨通光电
2020-03-06,300分层,600489,中金黄金
2020-03-06,300分层,600498,烽火通信
2020-03-06,300分层,600516,方大炭素
2020-03-06,300分层,600519,贵州茅台
2020-03-06,300分层,600522,中天科技
2020-03-06,300分层,600535,天士力
2020-03-06,300分层,600547,山东黄金
2020-03-06,300分层,600566,济川药业
2020-03-06,300分层,600570,恒生电子
2020-03-06,300分层,600583,海油工程
2020-03-06,300分层,600585,海螺水泥
2020-03-06,300分层,600588,用友网络
2020-03-06,300分层,600606,绿地控股
2020-03-06,300分层,600637,东方明珠
2020-03-06,300分层,600655,豫园股份
2020-03-06,300分层,600660,福耀玻璃
2020-03-06,300分层,600663,陆家嘴
2020-03-06,300分层,600674,川投能源
2020-03-06,300分层,600690,海尔智家
2020-03-06,300分层,600703,三安光电
2020-03-06,300分层,600705,中航资本
2020-03-06,300分层,600733,北汽蓝谷
2020-03-06,300分层,600741,华域汽车
2020-03-06,300分层,600760,中航沈飞
2020-03-06,300分层,600795,国电电力
2020-03-06,300分层,600809,山西汾酒
