日期,指数名称,成分券代码,成分券名称
2020-03-06,全指价值,600000,浦发银行
2020-03-06,全指价值,600011,华能国际
2020-03-06,全指价值,600015,华夏银行
2020-03-06,全指价值,600016,民生银行
2020-03-06,全指价值,600017,日照港
2020-03-06,全指价值,600019,宝钢股份
2020-03-06,全指价值,600020,中原高速
2020-03-06,全指价值,600025,华能水电
2020-03-06,全指价值,600026,中远海能
2020-03-06,全指价值,600027,华电国际
2020-03-06,全指价值,600028,中国石化
2020-03-06,全指价值,600036,招商银行
2020-03-06,全指价值,600039,四川路桥
2020-03-06,全指价值,600048,保利地产
2020-03-06,全指价值,600050,中国联通
2020-03-06,全指价值,600057,厦门象屿
2020-03-06,全指价值,600064,南京高科
2020-03-06,全指价值,600066,宇通客车
2020-03-06,全指价值,600068,葛洲坝
2020-03-06,全指价值,600089,特变电工
2020-03-06,全指价值,600094,大名城
2020-03-06,全指价值,600104,上汽集团
2020-03-06,全指价值,600123,兰花科创
2020-03-06,全指价值,600153,建发股份
2020-03-06,全指价值,600170,上海建工
2020-03-06,全指价值,600177,雅戈尔
2020-03-06,全指价值,600188,兖州煤业
2020-03-06,全指价值,600208,新湖中宝
2020-03-06,全指价值,600210,紫江企业
2020-03-06,全指价值,600219,南山铝业
2020-03-06,全指价值,600221,海航控股
2020-03-06,全指价值,600231,凌钢股份
2020-03-06,全指价值,600236,桂冠电力
2020-03-06,全指价值,600269,赣粤高速
2020-03-06,全指价值,600277,亿利洁能
2020-03-06,全指价值,600282,南钢股份
2020-03-06,全指价值,600297,广汇汽车
2020-03-06,全指价值,600307,酒钢宏兴
2020-03-06,全指价值,600309,万华化学
2020-03-06,全指价值,600325,华发股份
2020-03-06,全指价值,600335,国机汽车
2020-03-06,全指价值,600340,华夏幸福
2020-03-06,全指价值,600348,阳泉煤业
2020-03-06,全指价值,600350,山东高速
2020-03-06,全指价值,600352,浙江龙盛
2020-03-06,全指价值,600362,江西铜业
2020-03-06,全指价值,600373,中文传媒
2020-03-06,全指价值,600377,宁沪高速
2020-03-06,全指价值,600383,金地集团
2020-03-06,全指价值,600390,五矿资本
2020-03-06,全指价值,600398,海澜之家
2020-03-06,全指价值,600409,三友化工
2020-03-06,全指价值,600466,蓝光发展
2020-03-06,全指价值,600502,安徽建工
2020-03-06,全指价值,600507,方大特钢
2020-03-06,全指价值,600515,海航基础
2020-03-06,全指价值,600567,山鹰纸业
2020-03-06,全指价值,600569,安阳钢铁
2020-03-06,全指价值,600582,天地科技
2020-03-06,全指价值,600585,海螺水泥
2020-03-06,全指价值,600596,新安股份
2020-03-06,全指价值,600606,绿地控股
2020-03-06,全指价值,600611,大众交通
2020-03-06,全指价值,600623,华谊集团
2020-03-06,全指价值,600642,申能股份
2020-03-06,全指价值,600655,豫园股份
2020-03-06,全指价值,600674,川投能源
2020-03-06,全指价值,600694,大商股份
2020-03-06,全指价值,600717,天津港
2020-03-06,全指价值,600741,华域汽车
2020-03-06,全指价值,600751,海航科技
2020-03-06,全指价值,600755,厦门国贸
2020-03-06,全指价值,600757,长江传媒
2020-03-06,全指价值,600782,新钢股份
2020-03-06,全指价值,600795,国电电力
2020-03-06,全指价值,600801,华新水泥
2020-03-06,全指价值,600803,新奥股份
2020-03-06,全指价值,600808,马钢股份
2020-03-06,全指价值,600820,隧道股份
2020-03-06,全指价值,600823,世茂股份
2020-03-06,全指价值,600839,四川长虹
2020-03-06,全指价值,600846,同济科技
2020-03-06,全指价值,600859,王府井
2020-03-06,全指价值,600863,内蒙华电
2020-03-06,全指价值,600864,哈投股份
2020-03-06,全指价值,600886,国投电力
2020-03-06,全指价值,600900,长江电力
2020-03-06,全指价值,600908,无锡银行
2020-03-06,全指价值,600919,江苏银行
2020-03-06,全指价值,600926,杭州银行
2020-03-06,全指价值,600970,中材国际
2020-03-06,全指价值,600971,恒源煤电
2020-03-06,全指价值,600999,招商证券
2020-03-06,全指价值,601000,唐山港
2020-03-06,全指价值,601001,大同煤业
2020-03-06,全指价值,601003,柳钢股份
2020-03-06,全指价值,601006,大秦铁路
2020-03-06,全指价值,601009,南京银行
2020-03-06,全指价值,601019,山东出版
2020-03-06,全指价值,601088,中国神华
2020-03-06,全指价值,601098,中南传媒
2020-03-06,全指价值,601111,中国国航
2020-03-06,全指价值,601117,中国化学
2020-03-06,全指价值,601128,常熟银行
2020-03-06,全指价值,601155,新城控股
2020-03-06,全指价值,601166,兴业银行
2020-03-06,全指价值,601169,北京银行
2020-03-06,全指价值,601186,中国铁建
2020-03-06,全指价值,601211,国泰君安
2020-03-06,全指价值,601222,林洋能源
