日期,指数名称,成分券代码,成分券名称
2020-03-06,央企100,600011,华能国际
2020-03-06,央企100,600019,宝钢股份
2020-03-06,央企100,600021,上海电力
2020-03-06,央企100,600025,华能水电
2020-03-06,央企100,600027,华电国际
2020-03-06,央企100,600028,中国石化
2020-03-06,央企100,600029,南方航空
2020-03-06,央企100,600030,中信证券
2020-03-06,央企100,600036,招商银行
2020-03-06,央企100,600038,中直股份
2020-03-06,央企100,600048,保利地产
2020-03-06,央企100,600050,中国联通
2020-03-06,央企100,600061,国投资本
2020-03-06,央企100,600068,葛洲坝
2020-03-06,央企100,600115,东方航空
2020-03-06,央企100,600118,中国卫星
2020-03-06,央企100,600150,中国船舶
2020-03-06,央企100,600161,天坛生物
2020-03-06,央企100,600176,中国巨石
2020-03-06,央企100,600271,航天信息
2020-03-06,央企100,600299,安迪苏
2020-03-06,央企100,600339,中油工程
2020-03-06,央企100,600372,中航电子
2020-03-06,央企100,600390,五矿资本
2020-03-06,央企100,600406,国电南瑞
2020-03-06,央企100,600482,中国动力
2020-03-06,央企100,600489,中金黄金
2020-03-06,央企100,600497,驰宏锌锗
2020-03-06,央企100,600498,烽火通信
2020-03-06,央企100,600528,中铁工业
2020-03-06,央企100,600583,海油工程
2020-03-06,央企100,600705,中航资本
2020-03-06,央企100,600760,中航沈飞
2020-03-06,央企100,600795,国电电力
2020-03-06,央企100,600871,石化油服
2020-03-06,央企100,600875,东方电气
2020-03-06,央企100,600886,国投电力
2020-03-06,央企100,600893,航发动力
2020-03-06,央企100,600900,长江电力
2020-03-06,央企100,600968,海油发展
2020-03-06,央企100,600999,招商证券
2020-03-06,央企100,601006,大秦铁路
2020-03-06,央企100,601088,中国神华
2020-03-06,央企100,601111,中国国航
2020-03-06,央企100,601117,中国化学
2020-03-06,央企100,601186,中国铁建
2020-03-06,央企100,601198,东兴证券
2020-03-06,央企100,601212,白银有色
2020-03-06,央企100,601236,红塔证券
2020-03-06,央企100,601288,农业银行
2020-03-06,央企100,601319,中国人保
2020-03-06,央企100,601328,交通银行
2020-03-06,央企100,601336,新华保险
2020-03-06,央企100,601390,中国中铁
2020-03-06,央企100,601398,工商银行
2020-03-06,央企100,601598,中国外运
2020-03-06,央企100,601600,中国铝业
2020-03-06,央企100,601601,中国太保
2020-03-06,央企100,601618,中国中冶
2020-03-06,央企100,601628,中国人寿
2020-03-06,央企100,601668,中国建筑
2020-03-06,央企100,601669,中国电建
2020-03-06,央企100,601698,中国卫通
2020-03-06,央企100,601766,中国中车
2020-03-06,央企100,601788,光大证券
2020-03-06,央企100,601800,中国交建
2020-03-06,央企100,601808,中海油服
2020-03-06,央企100,601818,光大银行
2020-03-06,央企100,601857,中国石油
2020-03-06,央企100,601872,招商轮船
2020-03-06,央企100,601881,中国银河
2020-03-06,央企100,601888,中国国旅
2020-03-06,央企100,601898,中煤能源
2020-03-06,央企100,601919,中远海控
2020-03-06,央企100,601939,建设银行
2020-03-06,央企100,601985,中国核电
2020-03-06,央企100,601988,中国银行
2020-03-06,央企100,601989,中国重工
2020-03-06,央企100,601998,中信银行
2020-03-06,央企100,000050,深天马Ａ
2020-03-06,央企100,000066,中国长城
2020-03-06,央企100,000069,华侨城Ａ
2020-03-06,央企100,000166,申万宏源
2020-03-06,央企100,000423,东阿阿胶
2020-03-06,央企100,000625,长安汽车
2020-03-06,央企100,000629,攀钢钒钛
2020-03-06,央企100,000768,中航飞机
2020-03-06,央企100,000786,北新建材
2020-03-06,央企100,000898,鞍钢股份
2020-03-06,央企100,000999,华润三九
2020-03-06,央企100,001872,招商港口
2020-03-06,央企100,001979,招商蛇口
2020-03-06,央企100,002013,中航机电
2020-03-06,央企100,002179,中航光电
2020-03-06,央企100,002202,金风科技
2020-03-06,央企100,002405,四维图新
2020-03-06,央企100,002415,海康威视
2020-03-06,央企100,002916,深南电路
2020-03-06,央企100,002939,长城证券
2020-03-06,央企100,300773,拉卡拉
