日期,指数名称,成分券代码,成分券名称
2020-03-06,380消费,600073,上海梅林
2020-03-06,380消费,600132,重庆啤酒
2020-03-06,380消费,600197,伊力特
2020-03-06,380消费,600305,恒顺醋业
2020-03-06,380消费,600315,上海家化
2020-03-06,380消费,600439,瑞贝卡
2020-03-06,380消费,600559,老白干酒
2020-03-06,380消费,600597,光明乳业
2020-03-06,380消费,600702,舍得酒业
2020-03-06,380消费,600779,水井坊
2020-03-06,380消费,600811,东方集团
2020-03-06,380消费,600975,新五丰
2020-03-06,380消费,601952,苏垦农发
2020-03-06,380消费,603027,千禾味业
2020-03-06,380消费,603043,广州酒家
2020-03-06,380消费,603198,迎驾贡酒
2020-03-06,380消费,603363,傲农生物
2020-03-06,380消费,603517,绝味食品
2020-03-06,380消费,603605,珀莱雅
2020-03-06,380消费,603609,禾丰牧业
2020-03-06,380消费,603708,家家悦
2020-03-06,380消费,603711,香飘飘
2020-03-06,380消费,603866,桃李面包
