日期,指数名称,成分券代码,成分券名称
2020-03-06,ESG 40,600000,浦发银行
2020-03-06,ESG 40,600011,华能国际
2020-03-06,ESG 40,600018,上港集团
2020-03-06,ESG 40,600019,宝钢股份
2020-03-06,ESG 40,600036,招商银行
2020-03-06,ESG 40,600048,保利地产
2020-03-06,ESG 40,600050,中国联通
2020-03-06,ESG 40,600066,宇通客车
2020-03-06,ESG 40,600068,葛洲坝
2020-03-06,ESG 40,600089,特变电工
2020-03-06,ESG 40,600104,上汽集团
2020-03-06,ESG 40,600183,生益科技
2020-03-06,ESG 40,600188,兖州煤业
2020-03-06,ESG 40,600196,复星医药
2020-03-06,ESG 40,600309,万华化学
2020-03-06,ESG 40,600406,国电南瑞
2020-03-06,ESG 40,600600,青岛啤酒
2020-03-06,ESG 40,600690,海尔智家
2020-03-06,ESG 40,600741,华域汽车
2020-03-06,ESG 40,600900,长江电力
2020-03-06,ESG 40,601006,大秦铁路
2020-03-06,ESG 40,601111,中国国航
2020-03-06,ESG 40,601166,兴业银行
2020-03-06,ESG 40,601186,中国铁建
2020-03-06,ESG 40,601231,环旭电子
2020-03-06,ESG 40,601328,交通银行
2020-03-06,ESG 40,601390,中国中铁
2020-03-06,ESG 40,601398,工商银行
2020-03-06,ESG 40,601601,中国太保
2020-03-06,ESG 40,601618,中国中冶
2020-03-06,ESG 40,601668,中国建筑
2020-03-06,ESG 40,601669,中国电建
2020-03-06,ESG 40,601766,中国中车
2020-03-06,ESG 40,601800,中国交建
2020-03-06,ESG 40,601818,光大银行
2020-03-06,ESG 40,601919,中远海控
2020-03-06,ESG 40,601988,中国银行
2020-03-06,ESG 40,601989,中国重工
2020-03-06,ESG 40,601998,中信银行
2020-03-06,ESG 40,603993,洛阳钼业
