日期,指数名称,成分券代码,成分券名称
2020-03-06,500低贝,600008,首创股份
2020-03-06,500低贝,600017,日照港
2020-03-06,500低贝,600021,上海电力
2020-03-06,500低贝,600022,山东钢铁
2020-03-06,500低贝,600039,四川路桥
2020-03-06,500低贝,600062,华润双鹤
2020-03-06,500低贝,600073,上海梅林
2020-03-06,500低贝,600079,人福医药
2020-03-06,500低贝,600094,大名城
2020-03-06,500低贝,600098,广州发展
2020-03-06,500低贝,600126,杭钢股份
2020-03-06,500低贝,600132,重庆啤酒
2020-03-06,500低贝,600161,天坛生物
2020-03-06,500低贝,600167,联美控股
2020-03-06,500低贝,600195,中牧股份
2020-03-06,500低贝,600201,生物股份
2020-03-06,500低贝,600277,亿利洁能
2020-03-06,500低贝,600298,安琪酵母
2020-03-06,500低贝,600307,酒钢宏兴
2020-03-06,500低贝,600315,上海家化
2020-03-06,500低贝,600317,营口港
2020-03-06,500低贝,600325,华发股份
2020-03-06,500低贝,600329,中新药业
2020-03-06,500低贝,600339,中油工程
2020-03-06,500低贝,600350,山东高速
2020-03-06,500低贝,600376,首开股份
2020-03-06,500低贝,600388,龙净环保
2020-03-06,500低贝,600466,蓝光发展
2020-03-06,500低贝,600507,方大特钢
2020-03-06,500低贝,600511,国药股份
2020-03-06,500低贝,600528,中铁工业
2020-03-06,500低贝,600545,卓郎智能
2020-03-06,500低贝,600557,康缘药业
2020-03-06,500低贝,600567,山鹰纸业
2020-03-06,500低贝,600572,康恩贝
2020-03-06,500低贝,600575,淮河能源
2020-03-06,500低贝,600582,天地科技
2020-03-06,500低贝,600597,光明乳业
2020-03-06,500低贝,600598,北大荒
2020-03-06,500低贝,600639,浦东金桥
2020-03-06,500低贝,600642,申能股份
2020-03-06,500低贝,600648,外高桥
2020-03-06,500低贝,600673,东阳光
2020-03-06,500低贝,600694,大商股份
2020-03-06,500低贝,600717,天津港
2020-03-06,500低贝,600729,重庆百货
2020-03-06,500低贝,600737,中粮糖业
2020-03-06,500低贝,600763,通策医疗
2020-03-06,500低贝,600808,马钢股份
2020-03-06,500低贝,600811,东方集团
2020-03-06,500低贝,600823,世茂股份
2020-03-06,500低贝,600827,百联股份
2020-03-06,500低贝,600863,内蒙华电
2020-03-06,500低贝,600869,智慧能源
2020-03-06,500低贝,600885,宏发股份
2020-03-06,500低贝,600903,贵州燃气
2020-03-06,500低贝,600908,无锡银行
2020-03-06,500低贝,600917,重庆燃气
2020-03-06,500低贝,601001,大同煤业
2020-03-06,500低贝,601003,柳钢股份
2020-03-06,500低贝,601005,重庆钢铁
2020-03-06,500低贝,601098,中南传媒
2020-03-06,500低贝,601106,中国一重
2020-03-06,500低贝,601127,小康股份
2020-03-06,500低贝,601128,常熟银行
2020-03-06,500低贝,601139,深圳燃气
2020-03-06,500低贝,601179,中国西电
2020-03-06,500低贝,601228,广州港
2020-03-06,500低贝,601333,广深铁路
2020-03-06,500低贝,601689,拓普集团
2020-03-06,500低贝,601717,郑煤机
2020-03-06,500低贝,601799,星宇股份
2020-03-06,500低贝,601872,招商轮船
2020-03-06,500低贝,601880,大连港
2020-03-06,500低贝,601928,凤凰传媒
2020-03-06,500低贝,601958,金钼股份
2020-03-06,500低贝,601966,玲珑轮胎
2020-03-06,500低贝,603077,和邦生物
2020-03-06,500低贝,603233,大参林
2020-03-06,500低贝,603317,天味食品
2020-03-06,500低贝,603338,浙江鼎力
2020-03-06,500低贝,603355,莱克电气
2020-03-06,500低贝,603377,东方时尚
2020-03-06,500低贝,603517,绝味食品
2020-03-06,500低贝,603568,伟明环保
2020-03-06,500低贝,603659,璞泰来
2020-03-06,500低贝,603806,福斯特
2020-03-06,500低贝,603866,桃李面包
2020-03-06,500低贝,603868,飞科电器
2020-03-06,500低贝,603882,金域医学
2020-03-06,500低贝,603883,老百姓
2020-03-06,500低贝,603939,益丰药房
2020-03-06,500低贝,000008,神州高铁
2020-03-06,500低贝,000025,特力A
2020-03-06,500低贝,000027,深圳能源
2020-03-06,500低贝,000028,国药一致
2020-03-06,500低贝,000089,深圳机场
2020-03-06,500低贝,000301,东方盛虹
2020-03-06,500低贝,000402,金 融 街
2020-03-06,500低贝,000501,鄂武商Ａ
2020-03-06,500低贝,000543,皖能电力
2020-03-06,500低贝,000581,威孚高科
2020-03-06,500低贝,000598,兴蓉环境
2020-03-06,500低贝,000685,中山公用
2020-03-06,500低贝,000690,宝新能源
2020-03-06,500低贝,000718,苏宁环球
2020-03-06,500低贝,000729,燕京啤酒
2020-03-06,500低贝,000732,泰禾集团
2020-03-06,500低贝,000778,新兴铸管
2020-03-06,500低贝,000813,德展健康
2020-03-06,500低贝,000848,承德露露
2020-03-06,500低贝,000883,湖北能源
2020-03-06,500低贝,000959,首钢股份
2020-03-06,500低贝,000975,银泰黄金
2020-03-06,500低贝,000999,华润三九
2020-03-06,500低贝,002004,华邦健康
2020-03-06,500低贝,002028,思源电气
2020-03-06,500低贝,002064,华峰氨纶
2020-03-06,500低贝,002085,万丰奥威
2020-03-06,500低贝,002127,南极电商
2020-03-06,500低贝,002155,湖南黄金
2020-03-06,500低贝,002203,海亮股份
2020-03-06,500低贝,002212,南洋股份
2020-03-06,500低贝,002233,塔牌集团
2020-03-06,500低贝,002242,九阳股份
2020-03-06,500低贝,002244,滨江集团
2020-03-06,500低贝,002250,联化科技
2020-03-06,500低贝,002266,浙富控股
2020-03-06,500低贝,002317,众生药业
2020-03-06,500低贝,002358,森源电气
2020-03-06,500低贝,002372,伟星新材
2020-03-06,500低贝,002385,大北农
2020-03-06,500低贝,002390,信邦制药
2020-03-06,500低贝,002399,海普瑞
2020-03-06,500低贝,002408,齐翔腾达
2020-03-06,500低贝,002419,天虹股份
2020-03-06,500低贝,002434,万里扬
2020-03-06,500低贝,002505,大康农业
2020-03-06,500低贝,002507,涪陵榨菜
2020-03-06,500低贝,002603,以岭药业
2020-03-06,500低贝,002672,东江环保
2020-03-06,500低贝,002690,美亚光电
2020-03-06,500低贝,002701,奥瑞金
2020-03-06,500低贝,002812,恩捷股份
2020-03-06,500低贝,002831,裕同科技
2020-03-06,500低贝,002867,周大生
2020-03-06,500低贝,300012,华测检测
2020-03-06,500低贝,300026,红日药业
2020-03-06,500低贝,300180,华峰超纤
2020-03-06,500低贝,300529,健帆生物
