日期,指数名称,成分券代码,成分券名称
2020-03-06,地产指数,600048,保利地产
2020-03-06,地产指数,600162,香江控股
2020-03-06,地产指数,600322,天房发展
2020-03-06,地产指数,600325,华发股份
2020-03-06,地产指数,600376,首开股份
2020-03-06,地产指数,600383,金地集团
2020-03-06,地产指数,600393,粤泰股份
2020-03-06,地产指数,600463,空港股份
2020-03-06,地产指数,600533,栖霞建设
2020-03-06,地产指数,600603,广汇物流
2020-03-06,地产指数,600638,新黄浦
2020-03-06,地产指数,600639,浦东金桥
2020-03-06,地产指数,600641,万业企业
2020-03-06,地产指数,600648,外高桥
2020-03-06,地产指数,600663,陆家嘴
2020-03-06,地产指数,600675,中华企业
2020-03-06,地产指数,600684,珠江实业
2020-03-06,地产指数,600833,第一医药
2020-03-06,地产指数,601155,新城控股
2020-03-06,地产指数,601588,北辰实业
2020-03-06,地产指数,601668,中国建筑
2020-03-06,地产指数,603506,南都物业
2020-03-06,地产指数,900911,金桥Ｂ股
2020-03-06,地产指数,900912,外高Ｂ股
2020-03-06,地产指数,900932,陆家Ｂ股
