日期,指数名称,成分券代码,成分券名称
2020-03-06,综合指数,600000,浦发银行
2020-03-06,综合指数,600007,中国国贸
2020-03-06,综合指数,600015,华夏银行
2020-03-06,综合指数,600016,民生银行
2020-03-06,综合指数,600026,中远海能
2020-03-06,综合指数,600030,中信证券
2020-03-06,综合指数,600036,招商银行
2020-03-06,综合指数,600037,歌华有线
2020-03-06,综合指数,600051,宁波联合
2020-03-06,综合指数,600052,浙江广厦
2020-03-06,综合指数,600054,黄山旅游
2020-03-06,综合指数,600056,中国医药
2020-03-06,综合指数,600058,五矿发展
2020-03-06,综合指数,600061,国投资本
2020-03-06,综合指数,600064,南京高科
2020-03-06,综合指数,600068,葛洲坝
2020-03-06,综合指数,600076,康欣新材
2020-03-06,综合指数,600079,人福医药
2020-03-06,综合指数,600084,*ST中葡
2020-03-06,综合指数,600088,中视传媒
2020-03-06,综合指数,600093,易见股份
2020-03-06,综合指数,600095,哈高科
2020-03-06,综合指数,600097,开创国际
2020-03-06,综合指数,600100,同方股份
2020-03-06,综合指数,600118,中国卫星
2020-03-06,综合指数,600119,*ST长投
2020-03-06,综合指数,600120,浙江东方
2020-03-06,综合指数,600121,郑州煤电
2020-03-06,综合指数,600127,金健米业
2020-03-06,综合指数,600128,弘业股份
2020-03-06,综合指数,600133,东湖高新
2020-03-06,综合指数,600138,中青旅
2020-03-06,综合指数,600153,建发股份
2020-03-06,综合指数,600157,永泰能源
2020-03-06,综合指数,600158,中体产业
2020-03-06,综合指数,600170,上海建工
2020-03-06,综合指数,600175,美都能源
2020-03-06,综合指数,600180,瑞茂通
2020-03-06,综合指数,600185,格力地产
2020-03-06,综合指数,600193,ST创兴
2020-03-06,综合指数,600195,中牧股份
2020-03-06,综合指数,600196,复星医药
2020-03-06,综合指数,600199,金种子酒
2020-03-06,综合指数,600208,新湖中宝
2020-03-06,综合指数,600209,ST罗顿
2020-03-06,综合指数,600215,长春经开
2020-03-06,综合指数,600223,鲁商发展
2020-03-06,综合指数,600225,天津松江
2020-03-06,综合指数,600234,*ST山水
2020-03-06,综合指数,600241,时代万恒
2020-03-06,综合指数,600248,延长化建
2020-03-06,综合指数,600251,冠农股份
2020-03-06,综合指数,600257,大湖股份
2020-03-06,综合指数,600258,首旅酒店
2020-03-06,综合指数,600265,ST景谷
2020-03-06,综合指数,600266,城建发展
2020-03-06,综合指数,600275,ST昌鱼
2020-03-06,综合指数,600288,大恒科技
2020-03-06,综合指数,600289,*ST信通
2020-03-06,综合指数,600313,农发种业
2020-03-06,综合指数,600345,长江通信
2020-03-06,综合指数,600354,敦煌种业
2020-03-06,综合指数,600358,国旅联合
2020-03-06,综合指数,600359,新农开发
2020-03-06,综合指数,600378,昊华科技
2020-03-06,综合指数,600403,大有能源
2020-03-06,综合指数,600446,金证股份
2020-03-06,综合指数,600455,博通股份
2020-03-06,综合指数,600467,好当家
2020-03-06,综合指数,600500,中化国际
2020-03-06,综合指数,600502,安徽建工
2020-03-06,综合指数,600503,华丽家族
2020-03-06,综合指数,600506,香梨股份
2020-03-06,综合指数,600537,亿晶光电
2020-03-06,综合指数,600571,信雅达
2020-03-06,综合指数,600593,大连圣亚
2020-03-06,综合指数,600598,北大荒
2020-03-06,综合指数,600620,天宸股份
2020-03-06,综合指数,600643,爱建集团
2020-03-06,综合指数,600653,申华控股
2020-03-06,综合指数,600676,交运股份
2020-03-06,综合指数,600677,*ST航通
2020-03-06,综合指数,600687,*ST刚泰
2020-03-06,综合指数,600695,绿庭投资
2020-03-06,综合指数,600701,*ST工新
2020-03-06,综合指数,600704,物产中大
2020-03-06,综合指数,600705,中航资本
2020-03-06,综合指数,600706,曲江文旅
2020-03-06,综合指数,600708,光明地产
2020-03-06,综合指数,600711,盛屯矿业
2020-03-06,综合指数,600718,东软集团
2020-03-06,综合指数,600721,*ST百花
2020-03-06,综合指数,600728,佳都科技
2020-03-06,综合指数,600730,中国高科
2020-03-06,综合指数,600734,实达集团
2020-03-06,综合指数,600736,苏州高新
2020-03-06,综合指数,600739,辽宁成大
2020-03-06,综合指数,600749,西藏旅游
2020-03-06,综合指数,600755,厦门国贸
2020-03-06,综合指数,600756,浪潮软件
2020-03-06,综合指数,600758,红阳能源
2020-03-06,综合指数,600759,洲际油气
2020-03-06,综合指数,600767,ST运盛
2020-03-06,综合指数,600773,西藏城投
2020-03-06,综合指数,600777,新潮能源
2020-03-06,综合指数,600784,鲁银投资
2020-03-06,综合指数,600787,中储股份
2020-03-06,综合指数,600790,轻纺城
2020-03-06,综合指数,600805,悦达投资
2020-03-06,综合指数,600811,东方集团
2020-03-06,综合指数,600816,安信信托
2020-03-06,综合指数,600817,ST宏盛
2020-03-06,综合指数,600822,上海物贸
2020-03-06,综合指数,600837,海通证券
2020-03-06,综合指数,600846,同济科技
2020-03-06,综合指数,600850,华东电脑
2020-03-06,综合指数,600858,银座股份
2020-03-06,综合指数,600861,北京城乡
2020-03-06,综合指数,600868,梅雁吉祥
2020-03-06,综合指数,600881,亚泰集团
2020-03-06,综合指数,600893,航发动力
2020-03-06,综合指数,600895,张江高科
2020-03-06,综合指数,600958,东方证券
2020-03-06,综合指数,600959,江苏有线
2020-03-06,综合指数,600962,国投中鲁
2020-03-06,综合指数,600965,福成股份
2020-03-06,综合指数,600975,新五丰
2020-03-06,综合指数,600998,九州通
2020-03-06,综合指数,600999,招商证券
2020-03-06,综合指数,601000,唐山港
2020-03-06,综合指数,601007,金陵饭店
2020-03-06,综合指数,601009,南京银行
2020-03-06,综合指数,601019,山东出版
2020-03-06,综合指数,601098,中南传媒
2020-03-06,综合指数,601099,太平洋
2020-03-06,综合指数,601107,四川成渝
2020-03-06,综合指数,601117,中国化学
2020-03-06,综合指数,601166,兴业银行
2020-03-06,综合指数,601169,北京银行
2020-03-06,综合指数,601211,国泰君安
2020-03-06,综合指数,601228,广州港
2020-03-06,综合指数,601238,广汽集团
2020-03-06,综合指数,601258,ST庞大
2020-03-06,综合指数,601288,农业银行
2020-03-06,综合指数,601298,青岛港
2020-03-06,综合指数,601318,中国平安
2020-03-06,综合指数,601319,中国人保
2020-03-06,综合指数,601326,秦港股份
2020-03-06,综合指数,601328,交通银行
2020-03-06,综合指数,601336,新华保险
2020-03-06,综合指数,601360,三六零
2020-03-06,综合指数,601377,兴业证券
2020-03-06,综合指数,601398,工商银行
2020-03-06,综合指数,601512,中新集团
2020-03-06,综合指数,601519,大智慧
2020-03-06,综合指数,601555,东吴证券
2020-03-06,综合指数,601598,中国外运
2020-03-06,综合指数,601601,中国太保
2020-03-06,综合指数,601628,中国人寿
2020-03-06,综合指数,601688,华泰证券
2020-03-06,综合指数,601689,拓普集团
2020-03-06,综合指数,601718,际华集团
2020-03-06,综合指数,601788,光大证券
2020-03-06,综合指数,601801,皖新传媒
2020-03-06,综合指数,601808,中海油服
2020-03-06,综合指数,601811,新华文轩
2020-03-06,综合指数,601818,光大银行
2020-03-06,综合指数,601858,中国科传
2020-03-06,综合指数,601872,招商轮船
2020-03-06,综合指数,601888,中国国旅
2020-03-06,综合指数,601900,南方传媒
2020-03-06,综合指数,601901,方正证券
2020-03-06,综合指数,601919,中远海控
2020-03-06,综合指数,601928,凤凰传媒
2020-03-06,综合指数,601933,永辉超市
2020-03-06,综合指数,601939,建设银行
2020-03-06,综合指数,601949,中国出版
2020-03-06,综合指数,601952,苏垦农发
2020-03-06,综合指数,601975,招商南油
2020-03-06,综合指数,601988,中国银行
2020-03-06,综合指数,601998,中信银行
2020-03-06,综合指数,603000,人民网
2020-03-06,综合指数,603056,德邦股份
2020-03-06,综合指数,603060,国检集团
2020-03-06,综合指数,603096,新经典
2020-03-06,综合指数,603099,长白山
2020-03-06,综合指数,603103,横店影视
2020-03-06,综合指数,603128,华贸物流
2020-03-06,综合指数,603136,天目湖
2020-03-06,综合指数,603167,渤海轮渡
2020-03-06,综合指数,603189,网达软件
2020-03-06,综合指数,603199,九华旅游
2020-03-06,综合指数,603223,恒通股份
2020-03-06,综合指数,603259,药明康德
2020-03-06,综合指数,603329,上海雅仕
2020-03-06,综合指数,603357,设计总院
2020-03-06,综合指数,603365,水星家纺
2020-03-06,综合指数,603377,东方时尚
2020-03-06,综合指数,603389,亚振家居
2020-03-06,综合指数,603515,欧普照明
2020-03-06,综合指数,603533,掌阅科技
2020-03-06,综合指数,603559,中通国脉
2020-03-06,综合指数,603598,引力传媒
2020-03-06,综合指数,603603,博天环境
2020-03-06,综合指数,603661,恒林股份
2020-03-06,综合指数,603713,密尔克卫
2020-03-06,综合指数,603716,塞力斯
2020-03-06,综合指数,603721,中广天择
2020-03-06,综合指数,603776,永安行
2020-03-06,综合指数,603813,原尚股份
2020-03-06,综合指数,603858,步长制药
2020-03-06,综合指数,603869,新智认知
2020-03-06,综合指数,603871,嘉友国际
2020-03-06,综合指数,603880,南卫股份
2020-03-06,综合指数,603882,金域医学
2020-03-06,综合指数,603885,吉祥航空
2020-03-06,综合指数,603888,新华网
2020-03-06,综合指数,603967,中创物流
2020-03-06,综合指数,900919,绿庭B股
2020-03-06,综合指数,900927,物贸Ｂ股
2020-03-06,综合指数,900929,锦旅Ｂ股
2020-03-06,综合指数,900942,黄山Ｂ股
