日期,指数名称,成分券代码,成分券名称
2020-03-06,资源50,600028,中国石化
2020-03-06,资源50,600111,北方稀土
2020-03-06,资源50,600160,巨化股份
2020-03-06,资源50,600176,中国巨石
2020-03-06,资源50,600188,兖州煤业
2020-03-06,资源50,600206,有研新材
2020-03-06,资源50,600219,南山铝业
2020-03-06,资源50,600226,瀚叶股份
2020-03-06,资源50,600256,广汇能源
2020-03-06,资源50,600259,广晟有色
2020-03-06,资源50,600273,嘉化能源
2020-03-06,资源50,600277,亿利洁能
2020-03-06,资源50,600309,万华化学
2020-03-06,资源50,600346,恒力石化
2020-03-06,资源50,600352,浙江龙盛
2020-03-06,资源50,600362,江西铜业
2020-03-06,资源50,600366,宁波韵升
2020-03-06,资源50,600392,盛和资源
2020-03-06,资源50,600426,华鲁恒升
2020-03-06,资源50,600486,扬农化工
2020-03-06,资源50,600489,中金黄金
2020-03-06,资源50,600490,鹏欣资源
2020-03-06,资源50,600497,驰宏锌锗
2020-03-06,资源50,600516,方大炭素
2020-03-06,资源50,600547,山东黄金
2020-03-06,资源50,600549,厦门钨业
2020-03-06,资源50,600596,新安股份
2020-03-06,资源50,600598,北大荒
2020-03-06,资源50,600673,东阳光
2020-03-06,资源50,600740,山西焦化
2020-03-06,资源50,600803,新奥股份
2020-03-06,资源50,600988,赤峰黄金
2020-03-06,资源50,600989,宝丰能源
2020-03-06,资源50,601069,西部黄金
2020-03-06,资源50,601088,中国神华
2020-03-06,资源50,601118,海南橡胶
2020-03-06,资源50,601212,白银有色
2020-03-06,资源50,601216,君正集团
2020-03-06,资源50,601225,陕西煤业
2020-03-06,资源50,601233,桐昆股份
2020-03-06,资源50,601600,中国铝业
2020-03-06,资源50,601699,潞安环能
2020-03-06,资源50,601857,中国石油
2020-03-06,资源50,601898,中煤能源
2020-03-06,资源50,601899,紫金矿业
2020-03-06,资源50,601958,金钼股份
2020-03-06,资源50,603260,合盛硅业
2020-03-06,资源50,603379,三美股份
2020-03-06,资源50,603799,华友钴业
2020-03-06,资源50,603993,洛阳钼业
