日期,指数名称,成分券代码,成分券名称
2020-03-06,300金融,600000,浦发银行
2020-03-06,300金融,600015,华夏银行
2020-03-06,300金融,600016,民生银行
2020-03-06,300金融,600030,中信证券
2020-03-06,300金融,600036,招商银行
2020-03-06,300金融,600048,保利地产
2020-03-06,300金融,600061,国投资本
2020-03-06,300金融,600109,国金证券
2020-03-06,300金融,600208,新湖中宝
2020-03-06,300金融,600340,华夏幸福
2020-03-06,300金融,600369,西南证券
2020-03-06,300金融,600383,金地集团
2020-03-06,300金融,600390,五矿资本
2020-03-06,300金融,600606,绿地控股
2020-03-06,300金融,600663,陆家嘴
2020-03-06,300金融,600705,中航资本
2020-03-06,300金融,600816,安信信托
2020-03-06,300金融,600837,海通证券
2020-03-06,300金融,600848,上海临港
2020-03-06,300金融,600919,江苏银行
2020-03-06,300金融,600926,杭州银行
2020-03-06,300金融,600928,西安银行
2020-03-06,300金融,600958,东方证券
2020-03-06,300金融,600999,招商证券
2020-03-06,300金融,601009,南京银行
2020-03-06,300金融,601066,中信建投
2020-03-06,300金融,601108,财通证券
2020-03-06,300金融,601155,新城控股
2020-03-06,300金融,601162,天风证券
2020-03-06,300金融,601166,兴业银行
2020-03-06,300金融,601169,北京银行
2020-03-06,300金融,601198,东兴证券
2020-03-06,300金融,601211,国泰君安
2020-03-06,300金融,601229,上海银行
2020-03-06,300金融,601236,红塔证券
2020-03-06,300金融,601288,农业银行
2020-03-06,300金融,601318,中国平安
2020-03-06,300金融,601319,中国人保
2020-03-06,300金融,601328,交通银行
2020-03-06,300金融,601336,新华保险
2020-03-06,300金融,601377,兴业证券
2020-03-06,300金融,601398,工商银行
2020-03-06,300金融,601555,东吴证券
2020-03-06,300金融,601577,长沙银行
2020-03-06,300金融,601601,中国太保
2020-03-06,300金融,601628,中国人寿
2020-03-06,300金融,601688,华泰证券
2020-03-06,300金融,601788,光大证券
2020-03-06,300金融,601818,光大银行
2020-03-06,300金融,601838,成都银行
2020-03-06,300金融,601878,浙商证券
2020-03-06,300金融,601881,中国银河
2020-03-06,300金融,601901,方正证券
2020-03-06,300金融,601939,建设银行
2020-03-06,300金融,601988,中国银行
2020-03-06,300金融,601997,贵阳银行
2020-03-06,300金融,601998,中信银行
2020-03-06,300金融,000001,平安银行
2020-03-06,300金融,000002,万科Ａ
2020-03-06,300金融,000069,华侨城Ａ
2020-03-06,300金融,000166,申万宏源
2020-03-06,300金融,000627,天茂集团
2020-03-06,300金融,000656,金科股份
2020-03-06,300金融,000671,阳光城
2020-03-06,300金融,000728,国元证券
2020-03-06,300金融,000776,广发证券
2020-03-06,300金融,000783,长江证券
2020-03-06,300金融,000961,中南建设
2020-03-06,300金融,001979,招商蛇口
2020-03-06,300金融,002142,宁波银行
2020-03-06,300金融,002146,荣盛发展
2020-03-06,300金融,002673,西部证券
2020-03-06,300金融,002736,国信证券
2020-03-06,300金融,002939,长城证券
2020-03-06,300金融,002945,华林证券
2020-03-06,300金融,002958,青农商行
2020-03-06,300金融,300059,东方财富
