日期,指数名称,成分券代码,成分券名称
2020-03-06,上证地企,600000,浦发银行
2020-03-06,上证地企,600009,上海机场
2020-03-06,上证地企,600010,包钢股份
2020-03-06,上证地企,600015,华夏银行
2020-03-06,上证地企,600018,上港集团
2020-03-06,上证地企,600085,同仁堂
2020-03-06,上证地企,600104,上汽集团
2020-03-06,上证地企,600111,北方稀土
2020-03-06,上证地企,600183,生益科技
2020-03-06,上证地企,600309,万华化学
2020-03-06,上证地企,600332,白云山
2020-03-06,上证地企,600362,江西铜业
2020-03-06,上证地企,600436,片仔癀
2020-03-06,上证地企,600519,贵州茅台
2020-03-06,上证地企,600547,山东黄金
2020-03-06,上证地企,600585,海螺水泥
2020-03-06,上证地企,600606,绿地控股
2020-03-06,上证地企,600637,东方明珠
2020-03-06,上证地企,600741,华域汽车
2020-03-06,上证地企,600809,山西汾酒
2020-03-06,上证地企,600837,海通证券
2020-03-06,上证地企,600848,上海临港
2020-03-06,上证地企,600887,伊利股份
2020-03-06,上证地企,600895,张江高科
2020-03-06,上证地企,600919,江苏银行
2020-03-06,上证地企,600926,杭州银行
2020-03-06,上证地企,600928,西安银行
2020-03-06,上证地企,600958,东方证券
2020-03-06,上证地企,601009,南京银行
2020-03-06,上证地企,601066,中信建投
2020-03-06,上证地企,601108,财通证券
2020-03-06,上证地企,601162,天风证券
2020-03-06,上证地企,601166,兴业银行
2020-03-06,上证地企,601169,北京银行
2020-03-06,上证地企,601211,国泰君安
2020-03-06,上证地企,601225,陕西煤业
2020-03-06,上证地企,601229,上海银行
2020-03-06,上证地企,601298,青岛港
2020-03-06,上证地企,601377,兴业证券
2020-03-06,上证地企,601555,东吴证券
2020-03-06,上证地企,601577,长沙银行
2020-03-06,上证地企,601607,上海医药
2020-03-06,上证地企,601688,华泰证券
2020-03-06,上证地企,601838,成都银行
2020-03-06,上证地企,601860,紫金银行
2020-03-06,上证地企,601878,浙商证券
2020-03-06,上证地企,601899,紫金矿业
2020-03-06,上证地企,601990,南京证券
2020-03-06,上证地企,601992,金隅集团
2020-03-06,上证地企,601997,贵阳银行
