日期,指数名称,成分券代码,成分券名称
2020-03-06,消费服务,600000,浦发银行
2020-03-06,消费服务,600016,民生银行
2020-03-06,消费服务,600030,中信证券
2020-03-06,消费服务,600036,招商银行
2020-03-06,消费服务,600050,中国联通
2020-03-06,消费服务,600085,同仁堂
2020-03-06,消费服务,600177,雅戈尔
2020-03-06,消费服务,600196,复星医药
2020-03-06,消费服务,600233,圆通速递
2020-03-06,消费服务,600276,恒瑞医药
2020-03-06,消费服务,600297,广汇汽车
2020-03-06,消费服务,600299,安迪苏
2020-03-06,消费服务,600332,白云山
2020-03-06,消费服务,600398,海澜之家
2020-03-06,消费服务,600406,国电南瑞
2020-03-06,消费服务,600436,片仔癀
2020-03-06,消费服务,600438,通威股份
2020-03-06,消费服务,600519,贵州茅台
2020-03-06,消费服务,600535,天士力
2020-03-06,消费服务,600570,恒生电子
2020-03-06,消费服务,600588,用友网络
2020-03-06,消费服务,600600,青岛啤酒
2020-03-06,消费服务,600637,东方明珠
2020-03-06,消费服务,600655,豫园股份
2020-03-06,消费服务,600809,山西汾酒
2020-03-06,消费服务,600867,通化东宝
2020-03-06,消费服务,600872,中炬高新
2020-03-06,消费服务,600887,伊利股份
2020-03-06,消费服务,600977,中国电影
2020-03-06,消费服务,601166,兴业银行
2020-03-06,消费服务,601169,北京银行
2020-03-06,消费服务,601211,国泰君安
2020-03-06,消费服务,601229,上海银行
2020-03-06,消费服务,601288,农业银行
2020-03-06,消费服务,601318,中国平安
2020-03-06,消费服务,601319,中国人保
2020-03-06,消费服务,601328,交通银行
2020-03-06,消费服务,601360,三六零
2020-03-06,消费服务,601398,工商银行
2020-03-06,消费服务,601601,中国太保
2020-03-06,消费服务,601607,上海医药
2020-03-06,消费服务,601628,中国人寿
2020-03-06,消费服务,601688,华泰证券
2020-03-06,消费服务,601698,中国卫通
2020-03-06,消费服务,601818,光大银行
2020-03-06,消费服务,601828,美凯龙
2020-03-06,消费服务,601888,中国国旅
2020-03-06,消费服务,601933,永辉超市
2020-03-06,消费服务,601988,中国银行
2020-03-06,消费服务,601998,中信银行
2020-03-06,消费服务,603156,养元饮品
2020-03-06,消费服务,603259,药明康德
2020-03-06,消费服务,603288,海天味业
2020-03-06,消费服务,603369,今世缘
2020-03-06,消费服务,603589,口子窖
2020-03-06,消费服务,603899,晨光文具
2020-03-06,消费服务,000001,平安银行
2020-03-06,消费服务,000538,云南白药
2020-03-06,消费服务,000568,泸州老窖
2020-03-06,消费服务,000596,古井贡酒
2020-03-06,消费服务,000661,长春高新
2020-03-06,消费服务,000858,五 粮 液
2020-03-06,消费服务,000860,顺鑫农业
2020-03-06,消费服务,000876,新 希 望
2020-03-06,消费服务,000895,双汇发展
2020-03-06,消费服务,000963,华东医药
2020-03-06,消费服务,002001,新和成
2020-03-06,消费服务,002007,华兰生物
2020-03-06,消费服务,002024,苏宁易购
2020-03-06,消费服务,002027,分众传媒
2020-03-06,消费服务,002044,美年健康
2020-03-06,消费服务,002120,韵达股份
2020-03-06,消费服务,002153,石基信息
2020-03-06,消费服务,002230,科大讯飞
2020-03-06,消费服务,002252,上海莱士
2020-03-06,消费服务,002304,洋河股份
2020-03-06,消费服务,002311,海大集团
2020-03-06,消费服务,002352,顺丰控股
2020-03-06,消费服务,002405,四维图新
2020-03-06,消费服务,002410,广联达
2020-03-06,消费服务,002411,延安必康
2020-03-06,消费服务,002422,科伦药业
2020-03-06,消费服务,002468,申通快递
2020-03-06,消费服务,002555,三七互娱
2020-03-06,消费服务,002558,巨人网络
2020-03-06,消费服务,002563,森马服饰
2020-03-06,消费服务,002607,中公教育
2020-03-06,消费服务,002624,完美世界
2020-03-06,消费服务,002739,万达电影
2020-03-06,消费服务,002773,康弘药业
2020-03-06,消费服务,300015,爱尔眼科
2020-03-06,消费服务,300033,同花顺
2020-03-06,消费服务,300122,智飞生物
2020-03-06,消费服务,300142,沃森生物
2020-03-06,消费服务,300144,宋城演艺
2020-03-06,消费服务,300146,汤臣倍健
2020-03-06,消费服务,300347,泰格医药
2020-03-06,消费服务,300413,芒果超媒
2020-03-06,消费服务,300454,深信服
2020-03-06,消费服务,300601,康泰生物
