日期,指数名称,成分券代码,成分券名称
2020-03-06,5年信用,06大唐停,IBCB 20060216 20Y 4.2%
2020-03-06,5年信用,06冀建投,IBCB 20060328 20Y 4.18%
2020-03-06,5年信用,06三峡债,IBCB 20060511 20Y 4.15%
2020-03-06,5年信用,06鲁高速,IBCB 20060407 20Y 4.1%
2020-03-06,5年信用,10中铁G4,ETCB 20101019 15Y 4.5%
2020-03-06,5年信用,江西赣粤高速公路股份有限公司2014年公司债券(第一期)(品种二),ETCB 20140811 10Y 6.09%
2020-03-06,5年信用,2012年大唐国际发电股份有限公司公司债券(第二期),ETCB 20141103 10Y 5%
2020-03-06,5年信用,远洋地产有限公司2015年公司债券(第一期)(品种三),ETCB 20150819 10Y 5%
2020-03-06,5年信用,杭州市实业投资集团有限公司2015年公司债券(第一期),ETCB 20150909 10Y 4.48%
2020-03-06,5年信用,杭州市实业投资集团有限公司2015年公司债券(第二期),ETCB 20150917 10Y 4.36%
2020-03-06,5年信用,中国五矿股份有限公司2015年公司债券(第一期)(品种二),ETCB 20150921 10Y 4.75%
2020-03-06,5年信用,远洋地产有限公司2015年公司债券(第二期)(品种二),ETCB 20151019 10Y 4.76%
2020-03-06,5年信用,12石油04,IBCB 20120222 15Y 5%
2020-03-06,5年信用,11国网02,IBCB 20111208 15Y 5.24%
2020-03-06,5年信用,11冀投02,IBCB 20110627 13Y 5.85%
2020-03-06,5年信用,10冀交通,IBCB 20100928 15Y 4.95%
2020-03-06,5年信用,2014年中国南方电网有限责任公司公司债券,IBCB 20140319 10Y 5.9%
2020-03-06,5年信用,2014年第一期湖北省交通投资有限公司公司债券(品种一),IBCB 20140327 10Y 6.68%
2020-03-06,5年信用,2014年第一期湖北省交通投资有限公司公司债券(品种二),IBCB 20140327 10Y 6.8%
2020-03-06,5年信用,2014年第一期广州市地下铁道总公司企业债券,IBCB 20140402 10Y 6.45%
2020-03-06,5年信用,2014年南京江宁经济技术开发总公司企业债券,IBCB 20140414 10Y 7.94%
2020-03-06,5年信用,2014年贵州铁路投资有限责任公司公司债券,IBCB 20140423 10Y 7.5%
2020-03-06,5年信用,2014年合肥市建设投资控股(集团)有限公司公司债券,IBCB 20140429 10Y 7.2%
2020-03-06,5年信用,2014年柳州市龙建投资发展有限责任公司公司债券,IBCB 20140430 10Y 8.28%
2020-03-06,5年信用,2014年第二期广州市地下铁道总公司企业债券,IBCB 20140603 10Y 6.05%
2020-03-06,5年信用,2014年第一期天瑞集团股份有限公司公司债券,IBCB 20140625 10Y 8.5%
2020-03-06,5年信用,2014年北京市国有资产经营有限责任公司公司债券,IBCB 20140625 10Y 5.9%
2020-03-06,5年信用,2014年甘肃省电力投资集团有限责任公司公司债券,IBCB 20140805 10Y 6.4%
2020-03-06,5年信用,2014年河北建设投资集团有限责任公司公司债券,IBCB 20140901 11Y 5.69%
2020-03-06,5年信用,2014年杭州市地铁集团有限责任公司公司债券,IBCB 20140917 10Y 5.97%
2020-03-06,5年信用,2014年上海城市建设债券,IBCB 20141105 10Y 4.8%
2020-03-06,5年信用,2015年第一期长沙市轨道交通集团有限公司公司债券,IBCB 20150403 10Y 5.97%
2020-03-06,5年信用,2015年湖南省铁路投资集团有限公司公司债券,IBCB 20150430 10Y 6.09%
2020-03-06,5年信用,2015年天津铁路建设投资控股(集团)有限公司公司债券,IBCB 20150413 10Y 5.58%
2020-03-06,5年信用,2015年泸州市兴泸投资集团有限公司公司债券,IBCB 20150423 10Y 6.41%
2020-03-06,5年信用,2015年第二期长沙市轨道交通集团有限公司公司债券,IBCB 20150714 10Y 5.4%
2020-03-06,5年信用,2015年第一期广东省粤电集团有限公司公司债券,IBCB 20150820 10Y 4.54%
2020-03-06,5年信用,2015年天津市地下铁道集团有限公司公司债券,IBCB 20151016 10Y 4.27%
2020-03-06,5年信用,2015年云南省能源投资集团有限公司公司债券,IBCB 20151117 10Y 4.8%
2020-03-06,5年信用,2015年福建省投资开发集团有限责任公司停车场专项债券,IBCB 20151211 10Y 3.7%
2020-03-06,5年信用,2015年第三期长沙市轨道交通集团有限公司公司债券,IBCB 20151221 10Y 4.1%
2020-03-06,5年信用,2015年石家庄正定新区棚户区改造常山社区一期项目收益债券,IBCB 20151224 10Y 5.28%
2020-03-06,5年信用,2016年第一期广东恒健投资控股有限公司项目集合公司债券,IBCB 20160510 10Y 4.1%
2020-03-06,5年信用,2016年广州金融控股集团有限公司城市停车场建设专项债券,IBCB 20160202 10Y 3.48%
2020-03-06,5年信用,2016年江西省投资集团公司企业债券,IBCB 20160111 10Y 3.7%
2020-03-06,5年信用,2016年浙江汇盛投资集团有限公司公司债券,IBCB 20160315 8Y 4.49%
2020-03-06,5年信用,2016年第一期广州市城市建设投资集团有限公司城市停车场建设专项债券(品种二),IBCB 20160722 10Y 3.33%
2020-03-06,5年信用,2016年南昌城市建设投资发展有限公司管廊专项债券,IBCB 20160912 10Y 3.58%
2020-03-06,5年信用,2017年重庆龙湖企业拓展有限公司绿色债券(第二期),IBCB 20170307 7Y 4.75%
2020-03-06,5年信用,2017年江苏众安建设投资有限公司公司债券,IBCB 20170324 7Y 5.65%
2020-03-06,5年信用,2017年宿迁裕丰资产经营管理有限公司公司债券,IBCB 20170421 7Y 5.5%
2020-03-06,5年信用,2017年慈溪市国有资产投资控股有限公司公司债券,IBCB 20170407 7Y 4.9%
2020-03-06,5年信用,2017年三明市国有资产投资经营公司企业债券,IBCB 20170417 7Y 5.1%
2020-03-06,5年信用,2017年宿迁市经济开发总公司企业债券,IBCB 20170420 7Y 5.4%
2020-03-06,5年信用,2017年黄石市众邦城市住房投资有限公司公司债券,IBCB 20170602 7Y 5.95%
2020-03-06,5年信用,2017年邳州市润城资产经营集团有限公司公司债券,IBCB 20170419 7Y 5.65%
2020-03-06,5年信用,2017年新沂市交通投资有限公司公司债券,IBCB 20170424 7Y 5.35%
2020-03-06,5年信用,2017年武汉市黄陂区城建投资开发有限公司公司债券,IBCB 20170419 7Y 5.48%
2020-03-06,5年信用,2017年第一期浏阳现代制造产业建设投资开发有限公司绿色债券,IBCB 20170502 7Y 5.75%
2020-03-06,5年信用,2017年宝鸡市投资(集团)有限公司公司债券,IBCB 20170418 7Y 5.05%
2020-03-06,5年信用,2017年威海市双岛湾开发投资有限公司公司债券,IBCB 20170428 7Y 5.32%
2020-03-06,5年信用,2017年南通市通州区惠通投资有限责任公司公司债券,IBCB 20170410 7Y 4.88%
2020-03-06,5年信用,2017年六盘水市交通投资开发有限责任公司公司债券,IBCB 20170502 7Y 5.98%
2020-03-06,5年信用,2017年延安市新区投资开发建设有限公司公司债券,IBCB 20170421 7Y 5.6%
2020-03-06,5年信用,2017年海盐县国有资产经营有限公司公司债券,IBCB 20170612 7Y 5.8%
2020-03-06,5年信用,2017年泰州市高港高新区开发建设有限责任公司公司债券,IBCB 20170622 7Y 5.54%
2020-03-06,5年信用,2017年北京汽车股份有限公司绿色债券,IBCB 20170704 7Y 4.72%
2020-03-06,5年信用,2017年第一期毕节市建设投资有限公司地下管廊专项债券,IBCB 20170706 7Y 5.78%
2020-03-06,5年信用,2017年第一期四川秦巴新城投资集团有限公司公司债券,IBCB 20170707 7Y 6.68%
2020-03-06,5年信用,2017年第一期青州市城市建设投资开发有限公司公司债券,IBCB 20170710 7Y 6.4%
2020-03-06,5年信用,2017年沛县国有资产经营有限公司公司债券,IBCB 20170719 7Y 5.98%
2020-03-06,5年信用,2017年扬州经济技术开发区开发总公司企业债券,IBCB 20170706 7Y 5.28%
2020-03-06,5年信用,2017年永州市城市建设投资发展有限责任公司公司债券,IBCB 20170713 7Y 5.3%
2020-03-06,5年信用,2017年蚌埠经济开发区投资集团有限公司公司债券,IBCB 20170713 7Y 6.45%
2020-03-06,5年信用,2017年诸城市经济开发投资公司企业债券,IBCB 20170712 7Y 5.37%
2020-03-06,5年信用,2017年温州民科产业基地开发有限公司公司债券,IBCB 20170718 7Y 6.44%
2020-03-06,5年信用,2017年广德县国有资产投资经营有限公司公司债券,IBCB 20170718 7Y 5.37%
2020-03-06,5年信用,2017年常德市鼎力实业有限公司公司债券,IBCB 20170720 7Y 6.1%
2020-03-06,5年信用,2017年第一期诸暨市国有资产经营有限公司公司债券,IBCB 20170628 7Y 5.34%
2020-03-06,5年信用,2017年嵊州市投资控股有限公司公司债券,IBCB 20170720 7Y 5.35%
2020-03-06,5年信用,2017年桂阳县城市建设投资有限公司公司债券,IBCB 20170721 7Y 5.98%
2020-03-06,5年信用,2017年第一期厦门轨道交通集团有限公司公司债券,IBCB 20170720 9Y 4.55%
2020-03-06,5年信用,2017年启东创新型经济园开发有限公司公司债券,IBCB 20170714 7Y 5.16%
2020-03-06,5年信用,2017年第二期诸暨市国有资产经营有限公司公司债券,IBCB 20170718 7Y 5.23%
2020-03-06,5年信用,2017年襄阳经济技术开发区投资建设有限公司公司债券,IBCB 20170719 7Y 6.1%
2020-03-06,5年信用,2017年贵州六盘水攀登开发投资贸易有限公司养老产业专项债券,IBCB 20170724 7Y 7.3%
2020-03-06,5年信用,2017年郴州市新天投资有限公司公司债券,IBCB 20170726 7Y 6%
2020-03-06,5年信用,2017年红河州开发投资有限责任公司地下综合管廊专项债券,IBCB 20170712 7Y 5.9%
2020-03-06,5年信用,2017年衡阳市滨江新区投资有限公司公司债券,IBCB 20170727 7Y 5.47%
2020-03-06,5年信用,2017年第一期龙源电力集团股份有限公司绿色债券,IBCB 20170801 7Y 4.78%
2020-03-06,5年信用,2017年第一期铜陵市建设投资控股有限责任公司公司债券,IBCB 20170731 7Y 5.77%
2020-03-06,5年信用,2017年宿州市新区建设投资集团有限公司公司债券,IBCB 20170804 7Y 5.98%
2020-03-06,5年信用,2017年安庆皖江高科技投资发展有限公司公司债券,IBCB 20170802 7Y 6.5%
2020-03-06,5年信用,2017年泗阳县民康农村经济发展有限公司城市停车场建设专项债券,IBCB 20170731 7Y 7.4%
2020-03-06,5年信用,2017年第一期包头市保障性住房发展建设投资有限公司公司债券,IBCB 20170727 7Y 5.25%
2020-03-06,5年信用,2017年台州市黄岩区国有资产经营有限公司公司债券(第一期),IBCB 20170801 7Y 6.1%
2020-03-06,5年信用,2017年第一期重庆市金潼工业建设投资有限公司公司债券,IBCB 20170801 7Y 6.5%
2020-03-06,5年信用,2017年江苏开源投资发展有限公司公司债券,IBCB 20170803 7Y 7.08%
2020-03-06,5年信用,2017年靖江市滨江新城投资开发有限公司绿色债券,IBCB 20170725 7Y 5.37%
2020-03-06,5年信用,2017年蒲城县投资发展有限公司公司债券,IBCB 20170810 7Y 6.57%
2020-03-06,5年信用,2017年第二期厦门轨道交通集团有限公司公司债券,IBCB 20170808 9Y 4.61%
2020-03-06,5年信用,2017年宁国市国有资产投资运营有限公司公司债券,IBCB 20170807 7Y 7.14%
2020-03-06,5年信用,2017年株洲市湘江建设发展集团有限公司公司债券,IBCB 20170809 7Y 6.4%
2020-03-06,5年信用,2017年怀化经济开发区开发建设投资有限公司公司债券,IBCB 20170807 7Y 5.77%
2020-03-06,5年信用,2017年淮安市水利控股集团有限公司公司债券,IBCB 20170811 7Y 5.28%
2020-03-06,5年信用,2017年永兴银都投资建设发展(集团)有限公司公司债券(第二期),IBCB 20170814 7Y 6.5%
2020-03-06,5年信用,2017年江西省萍乡市昌盛城市投资有限公司公司债券,IBCB 20170811 7Y 6%
2020-03-06,5年信用,2017年第二期浏阳现代制造产业建设投资开发有限公司绿色债券,IBCB 20170810 7Y 5.88%
2020-03-06,5年信用,2017年第二期包头市保障性住房发展建设投资有限公司公司债券,IBCB 20170810 7Y 5.31%
2020-03-06,5年信用,2017年第二期铜陵市建设投资控股有限责任公司公司债券,IBCB 20170816 7Y 5.8%
2020-03-06,5年信用,2017年濮阳市投资集团公司城市停车场建设专项债券,IBCB 20170817 7Y 5.18%
2020-03-06,5年信用,2017年启东市城市建设投资开发总公司公司债券,IBCB 20170816 7Y 5.25%
2020-03-06,5年信用,2017年毕节市信泰投资有限公司公司债券,IBCB 20171101 7Y 7.8%
2020-03-06,5年信用,2017年南通运通港务发展有限公司公司债券,IBCB 20170810 7Y 6.13%
2020-03-06,5年信用,2017年遵义经济技术开发区高新标准化厂房一期建设项目收益债券,IBCB 20170817 7Y 7.48%
2020-03-06,5年信用,2017年贵州新东观城市建设投资有限责任公司公司债券,IBCB 20170905 7Y 7.7%
2020-03-06,5年信用,2016年第二期绍兴市柯桥区城建投资开发集团有限公司公司债券,IBCB 20170803 7Y 5.74%
2020-03-06,5年信用,2017年威海经济技术开发区国有资产经营管理公司企业债券,IBCB 20170823 7Y 5.8%
2020-03-06,5年信用,2017年资兴市成诚投资有限公司公司债券(第二期),IBCB 20170809 7Y 6.18%
2020-03-06,5年信用,2017年长沙金洲新城开发建设投资有限公司双创孵化专项债券,IBCB 20170824 7Y 6.6%
2020-03-06,5年信用,2017年陕西省西咸新区泾河新城开发建设(集团)有限公司公司债券,IBCB 20170823 7Y 6.67%
2020-03-06,5年信用,2017年成都兴蜀投资开发有限责任公司城市停车场建设专项债券,IBCB 20170821 7Y 6.78%
2020-03-06,5年信用,2017第二期宿迁市湖滨新城投资开发有限公司公司债券,IBCB 20170825 7Y 6.93%
2020-03-06,5年信用,2017年义乌市城市投资建设集团有限公司城市停车场和地下综合管廊专项债券,IBCB 20170818 7Y 5.48%
2020-03-06,5年信用,2017年老河口市建设投资经营有限公司公司债券,IBCB 20170816 7Y 6.49%
2020-03-06,5年信用,2017年江苏中关村科技产业园控股集团有限公司公司债券,IBCB 20170830 7Y 5.7%
2020-03-06,5年信用,2017年运城市城市建设投资开发有限公司城市地下综合管廊建设(一期)专项债券,IBCB 20170829 7Y 6.3%
2020-03-06,5年信用,2017年第一期邵阳市城市建设投资经营集团有限公司公司债券,IBCB 20170901 7Y 5.98%
2020-03-06,5年信用,2017年丰都县国有资产经营投资集团有限公司公司债券,IBCB 20170905 7Y 6.38%
2020-03-06,5年信用,2017年第一期淮南市城市建设投资有限责任公司公司债券,IBCB 20170904 7Y 5.74%
2020-03-06,5年信用,2017年新沂经济开发区建设发展有限公司公司债券,IBCB 20170927 7Y 6.66%
2020-03-06,5年信用,2017年南陵县建设投资有限责任公司城市停车场、养老产业建设专项债券,IBCB 20170906 7Y 6.2%
2020-03-06,5年信用,2017年阜宁县城市投资发展有限责任公司公司债券,IBCB 20170314 7Y 6%
2020-03-06,5年信用,2017年第二期吉首华泰国有资产投资管理有限责任公司城市地下综合管廊建设专项债券,IBCB 20170911 7Y 6.45%
2020-03-06,5年信用,2017年重庆市江津区滨江新城开发建设有限公司公司债券,IBCB 20170913 7Y 6.4%
2020-03-06,5年信用,2017年重庆盈地实业有限公司公司债券,IBCB 20171107 7Y 7%
2020-03-06,5年信用,2017年安丘市华安国有资产经营有限公司公司债券,IBCB 20170914 7Y 7%
2020-03-06,5年信用,2017年安顺市城市建设投资有限责任公司城市地下综合管廊建设专项债券,IBCB 20170915 7Y 7.3%
2020-03-06,5年信用,2017年淮安新城投资开发有限公司公司债券,IBCB 20170920 7Y 5.22%
2020-03-06,5年信用,2017年蒙城县城市发展投资控股集团有限公司城市停车场建设专项债券,IBCB 20170921 7Y 5.6%
2020-03-06,5年信用,2017年萍乡市汇丰投资有限公司绿色债券,IBCB 20170921 7Y 5.79%
2020-03-06,5年信用,2017年遵义湘江投资建设有限责任公司公司债券,IBCB 20170925 7Y 6.99%
2020-03-06,5年信用,2017年南京江北新城投资发展有限公司公司债券,IBCB 20170926 7Y 5.59%
2020-03-06,5年信用,2017年第一期句容市城市建设投资有限责任公司公司债券,IBCB 20170918 7Y 6.89%
2020-03-06,5年信用,2017年无锡锡东科技投资控股有限公司公司债券,IBCB 20170914 7Y 5.73%
2020-03-06,5年信用,2017年泸州汇兴投资有限公司公司债券,IBCB 20171019 7Y 6.28%
2020-03-06,5年信用,2017年无锡食品科技园发展有限公司公司债券,IBCB 20170928 7Y 5.7%
2020-03-06,5年信用,2017年嘉兴市秀洲新市镇开发建设有限公司公司债券,IBCB 20170925 7Y 5.6%
2020-03-06,5年信用,2017年第二期连云港恒驰实业有限公司公司债券,IBCB 20171027 7Y 7.4%
2020-03-06,5年信用,2017年安顺市交通建设投资有限责任公司公司债券,IBCB 20171031 7Y 7.5%
2020-03-06,5年信用,2017年淮南市产业发展(集团)有限公司公司债券,IBCB 20171025 7Y 5.69%
2020-03-06,5年信用,2017年睢宁县润企投资有限公司公司债券,IBCB 20171102 7Y 6.78%
2020-03-06,5年信用,2017年新疆维吾尔自治区哈密地区国有资产投资经营有限公司公司债券,IBCB 20171027 7Y 6.55%
2020-03-06,5年信用,2017年抚州市投资发展(集团)有限公司城市停车场建设专项债券,IBCB 20171030 7Y 5.7%
2020-03-06,5年信用,2017年镇江市丹徒区建设投资有限公司绿色专项债券,IBCB 20171106 7Y 5.98%
2020-03-06,5年信用,2017年第一期常州市金坛区交通产业集团有限公司公司债券,IBCB 20171107 7Y 6.5%
2020-03-06,5年信用,2017年成都-阿坝工业园区基础设施项目三期安置房项目收益债券(第一期),IBCB 20171106 7Y 7.5%
2020-03-06,5年信用,2017年威海市中城公有资产经营有限公司城市停车场建设专项债券,IBCB 20171102 7Y 6.05%
2020-03-06,5年信用,2017年汕尾市金叶发展公司企业债券,IBCB 20171109 7Y 5.68%
2020-03-06,5年信用,2017年贵阳云岩贵中土地开发基本建设投资管理集团有限公司公司债券,IBCB 20171117 7Y 6.8%
2020-03-06,5年信用,2017年第一期乐清市国有投资有限公司城市停车场建设专项债券,IBCB 20171214 7Y 6.79%
2020-03-06,5年信用,2017年湖州织里城市建设发展有限公司公司债券,IBCB 20171123 7Y 7.5%
2020-03-06,5年信用,2017年太和县国有资产投资运营有限公司公司债券,IBCB 20170807 7Y 5.87%
2020-03-06,5年信用,2017年长兴综合物流园项目收益债券,IBCB 20171130 8Y 6.5%
2020-03-06,5年信用,2017年第一期南京高新技术经济开发有限责任公司公司债券,IBCB 20171206 7Y 6%
2020-03-06,5年信用,2017年郎溪县国有资产运营投资有限公司公司债券,IBCB 20171211 7Y 6.13%
2020-03-06,5年信用,2017年第二期常州市金坛区交通产业集团有限公司公司债券,IBCB 20171221 7Y 7.1%
2020-03-06,5年信用,2017年襄阳市住房投资有限公司公司债券,IBCB 20171215 7Y 6.1%
2020-03-06,5年信用,2017年金华融盛投资发展集团有限公司公司债券,IBCB 20171227 7Y 6.85%
2020-03-06,5年信用,2018年第一期兴义市信恒城市建设投资有限公司公司债券,IBCB 20180131 7Y 7.9%
2020-03-06,5年信用,2018年重庆市铜梁区金龙城市建设投资(集团)有限公司城市停车场建设专项债券,IBCB 20180211 7Y 6.8%
2020-03-06,5年信用,2018年第一期盐城市城南新区开发建设投资有限公司绿色债券,IBCB 20180319 7Y 6%
2020-03-06,5年信用,2018年哈尔滨市城市建设投资集团有限公司公司债券,IBCB 20180319 7Y 6.04%
2020-03-06,5年信用,2018年杭州市钱江新城投资集团有限公司城市停车场建设专项债券,IBCB 20180319 7Y 5.64%
2020-03-06,5年信用,2018年第一期江苏洋口港建设发展集团有限公司公司债券,IBCB 20180403 7Y 7.38%
2020-03-06,5年信用,2018年舟山海城建设投资集团有限公司公司债券(第一期),IBCB 20180404 7Y 6.33%
2020-03-06,5年信用,2018年巢湖市城镇建设投资有限公司公司债券,IBCB 20180503 7Y 5.67%
2020-03-06,5年信用,2018年陕西金融控股集团有限公司绿色债券,IBCB 20180321 7Y 5.88%
2020-03-06,5年信用,2018年芜湖新马投资有限公司公司债券,IBCB 20180410 7Y 6%
