日期,指数名称,成分券代码,成分券名称
2020-03-06,信用100,06三峡债,IBCB 20060511 20Y 4.15%
2020-03-06,信用100,11海航02,ETCB 20110524 10Y 6.2%
2020-03-06,信用100,招商证券股份有限公司公开发行2014年公司债券,ETCB 20150526 10Y 5.08%
2020-03-06,信用100,北京首都开发股份有限公司2014年公司债券,ETCB 20150603 7Y 4.8%
2020-03-06,信用100,恒大地产集团有限公司2015年公司债券(第二期)(品种二),ETCB 20150708 7Y 6.98%
2020-03-06,信用100,广西金融投资集团有限公司2015年公司债券,ETCB 20150821 8Y 5%
2020-03-06,信用100,华夏幸福基业股份有限公司2015年公司债券(第一期),ETCB 20151022 7Y 5.1%
2020-03-06,信用100,12石油05,IBCB 20120315 10Y 4.8%
2020-03-06,信用100,11泛海02,IBCB 20111213 10Y 8.9%
2020-03-06,信用100,12联想债,IBCB 20121130 10Y 5.7%
2020-03-06,信用100,2014年大连普湾工程项目管理有限公司公司债券,IBCB 20140220 7Y 7.09%
2020-03-06,信用100,2015年第一期长沙市轨道交通集团有限公司公司债券,IBCB 20150403 10Y 5.97%
2020-03-06,信用100,2015年海航集团有限公司公司债券,IBCB 20151127 7Y 5.99%
2020-03-06,信用100,2016年南京地铁集团有限公司公司债券,IBCB 20160829 7Y 3.29%
2020-03-06,信用100,2017年六盘水市交通投资开发有限责任公司公司债券,IBCB 20170502 7Y 5.98%
2020-03-06,信用100,2018年第二期华晨汽车集团控股有限公司公司债券,IBCB 20181105 5Y 5.8%
2020-03-06,信用100,2015年重庆国信投资控股有限公司公司债券(第一期)(品种二),ETCB 20151118 7Y 4.26%
2020-03-06,信用100,广州合景房地产开发有限公司2015年公司债券(品种一),ETCB 20151217 6Y 7%
2020-03-06,信用100,国美电器有限公司公开发行2016年公司债券(第一期),ETCB 20160107 6Y 7.6%
2020-03-06,信用100,广州富力地产股份有限公司2016年公司债券(第一期)(品种一),ETCB 20160111 5Y 7.2%
2020-03-06,信用100,大连万达商业地产股份有限公司2016年公司债券(第一期),ETCB 20160114 5Y 5.5%
2020-03-06,信用100,山东宏桥新型材料有限公司2016年公司债券(第一期)(品种一),ETCB 20160114 5Y 7.3%
