日期,指数名称,成分券代码,成分券名称
2020-03-06,能源等权,600028,中国石化
2020-03-06,能源等权,600123,兰花科创
2020-03-06,能源等权,600157,永泰能源
2020-03-06,能源等权,600188,兖州煤业
2020-03-06,能源等权,600256,广汇能源
2020-03-06,能源等权,600339,中油工程
2020-03-06,能源等权,600348,阳泉煤业
2020-03-06,能源等权,600395,盘江股份
2020-03-06,能源等权,600508,上海能源
2020-03-06,能源等权,600583,海油工程
2020-03-06,能源等权,600688,上海石化
2020-03-06,能源等权,600740,山西焦化
2020-03-06,能源等权,600759,洲际油气
2020-03-06,能源等权,600777,新潮能源
2020-03-06,能源等权,600871,石化油服
2020-03-06,能源等权,600968,海油发展
2020-03-06,能源等权,600985,淮北矿业
2020-03-06,能源等权,600997,开滦股份
2020-03-06,能源等权,601001,大同煤业
2020-03-06,能源等权,601011,宝泰隆
2020-03-06,能源等权,601088,中国神华
2020-03-06,能源等权,601101,昊华能源
2020-03-06,能源等权,601225,陕西煤业
2020-03-06,能源等权,601666,平煤股份
2020-03-06,能源等权,601699,潞安环能
2020-03-06,能源等权,601808,中海油服
2020-03-06,能源等权,601857,中国石油
2020-03-06,能源等权,601898,中煤能源
2020-03-06,能源等权,601918,新集能源
2020-03-06,能源等权,603113,金能科技
