,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,district,fullname,lat,lng,local,name,region
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,浦东,浦东新区玉兰小区,31.186446000000004,121.566799,"{'lng': 121.566799, 'lat': 31.186446}",玉兰小区,北蔡
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,浦东,浦东新区聚龙家园,31.202240999999997,121.57478400000001,"{'lng': 121.574784, 'lat': 31.202241}",聚龙家园,北蔡
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,浦东,浦东新区白杨小区,31.199119,121.565999,"{'lng': 121.565999, 'lat': 31.199119}",白杨小区,北蔡
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,浦东,浦东新区北蔡大街小区,31.193906,121.560678,"{'lng': 121.560678, 'lat': 31.193906}",北蔡大街小区,北蔡
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,浦东,浦东新区鹏宏苑,31.177784999999997,121.56433,"{'lng': 121.56433, 'lat': 31.177785}",鹏宏苑,北蔡
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,浦东,浦东新区龙港新村,31.195515000000004,121.56995900000001,"{'lng': 121.569959, 'lat': 31.195515}",龙港新村,北蔡
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,浦东,浦东新区莲溪五村,31.187656,121.56504199999999,"{'lng': 121.565042, 'lat': 31.187656}",莲溪五村,北蔡
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,浦东,浦东新区紫叶花园,31.188774,121.557346,"{'lng': 121.557346, 'lat': 31.188774}",紫叶花园,北蔡
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,浦东,浦东新区鹏海小区,31.181756,121.570948,"{'lng': 121.570948, 'lat': 31.181756}",鹏海小区,北蔡
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,浦东,浦东新区龙博公寓,31.185551,121.561304,"{'lng': 121.561304, 'lat': 31.185551}",龙博公寓,北蔡
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,浦东,浦东新区申波苑,31.201488,121.568495,"{'lng': 121.568495, 'lat': 31.201488}",申波苑,北蔡
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,浦东,浦东新区新花苑,31.200411,121.559676,"{'lng': 121.559676, 'lat': 31.200411}",新花苑,北蔡
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,浦东,浦东新区海东公寓,31.189913,121.55469599999999,"{'lng': 121.554696, 'lat': 31.189913}",海东公寓,北蔡
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,浦东,浦东新区大华锦绣华城(十二街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十二街区),北蔡
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,浦东,浦东新区欣顺小区,31.174853999999996,121.549097,"{'lng': 121.549097, 'lat': 31.174854}",欣顺小区,北蔡
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,浦东,浦东新区大华锦绣华城(十五街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十五街区),北蔡
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,浦东,浦东新区莲溪八村,31.192978999999998,121.56434099999998,"{'lng': 121.564341, 'lat': 31.192979}",莲溪八村,北蔡
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,浦东,浦东新区南新六村,31.178223,121.54476799999999,"{'lng': 121.544768, 'lat': 31.178223}",南新六村,北蔡
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,浦东,浦东新区天池一村,31.19205800000001,121.55033600000002,"{'lng': 121.550336, 'lat': 31.192058}",天池一村,北蔡
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,浦东,浦东新区宝华海尚郡领,31.230895,121.638481,"{'lng': 121.638481, 'lat': 31.230895}",宝华海尚郡领,北蔡
